BOOK,PAGE,WEB,ITEM,Desc.,ACP,Cost,"Ref bonus","Fort bonus","Max Dex","Spd 6sq","Spd 4sq",Weight,Avail., U. Slots,Helmet P.,COMMENTS,Skill,Skillbonus,Ability,Abilitybonus,Used By
K,147,w,Sith Trooper Armor,"Sith Trooper Armor
Light Armor

Designed by the onboard computers of the Star Forge and replicated millions of times over, Sith trooper armor is silver multi-piece plating worn over a sealed black body glove, with a helmet incorporating a comlink, blast shield, and helmet package. Statistically, it is identical to stormtrooper armor (Sf 133)
",-2,8000,6,2,3,,,10,"Military, Rare",,x,,,,,,Sith Trooper
W,160,w,Skakoan heavy pressure suit,"Skakoan Pressure Suit

In order to survive off planet, the Skakoans have created three types of pressure suits. The suits are as effective as certain types of armor, but they are bulkier due to the additional breathing equipment and pressurizers.
",-10,12000,9,3,1,4/x3,3/x3,35,,,,survive 24 hours,,,,,Skakoan
W,160,w,Skakoan light pressure suit,"Skakoan Pressure Suit


In order to survive off planet, the Skakoans have created three types of pressure suits. The suits are as effective as certain types of armor, but they are bulkier due to the additional breathing equipment and pressurizers.
",-2,4000,5,2,3,,,10,,,,10 hours life support,,,,,Skakoan
W,160,w,Skakoan medium pressure suit,"Skakoan Pressure Suit


In order to survive off planet, the Skakoans have created three types of pressure suits. The suits are as effective as certain types of armor, but they are bulkier due to the additional breathing equipment and pressurizers.
",-5,7000,8,2,2,4,3,16,,,,,,,,,Skakoan
CR,133,w,Snowtrooper armor,,-2,18000,6,2,3,,,10,"Military, Rare",,x,immune to effects of extreme cold,,,,,Snowtrooper
CR,137,w,Space suit,"Space Suit

This bulky coverall contains a sealed life support system that provides everything the wearer needs to survive for 24 hours in the vacuum of space or any other hostile environment.

As long as you have life support remaining, you are immune to any atmosphere or inhaled poison hazard. The suit also grants a +2 equipment bonus to your Fortitude Defense.
",S,2000,0,2,,,,15,,1,,24 hours life support,,,,,
T,95,w,SpecForce armor,,-2,4000,5,2,3,,,10,Licensed,,,10 hours life support,,,,,SpecForce
GW,45,w,Stalker armor,"Stalker Armor (GaW)
Medium Armor

The M1-10 stalker armor is created by the Salus Corporation on Rodia and marketed for the burgeoning bounty hunter market. Multiple designs are created to cater to the specific needs of various humanoid species, but the model for Rodians is easily the best seller. Stalker armor immediately identifies the wearer as a bounty hunter, working to the advantage of the wearer by intimidating targets.

Stalker armor is designed for customization. If you are using the Armor Upgrades option from Scum and Villainy, stalker armor has room for three upgrades.
",-5,7500,7,0,3,4,3,10,Licensed,3,,identifies wearer as bounty hunter,,,,,"bounty hunter, Rodians"
R,123,w,Storm Commando armor,,-2,10500,4,0,4,,,9,"Military, Rare",0,x,+5 equipment to Stealth,Stealth,5,,,
CR,133,w,Stormtrooper armor,"Stormtrooper Armor
Light Armor

Worn by the elite soldiers of the Galactic Empire, stormtrooper armor comes in a variety of models based around a standard white- and-black shell. Filled with electronics that assist and augment the stormtrooper in his duties, it includes rudimentary environmental protection, three - phase sonic filtering, and visual amplification.

Variants of this armor also exist, including snowtrooper armor, sandtrooper armor, and clone trooper armor. Each has slightly different details, but all include the basic characteristics common to all stormtrooper armor. Though unavailable on the open market, these suits can occasionally be found on the black market (or sometimes much higher).

Stormtrooper armor (including all variants) grants a wearer who has the Armor Proficiency (light) feat a +2 equipment bonus on Perception checks as well as low-light vision. Stormtrooper armor also includes an integrated comlink in the helmet, allowing hands-free communication.

Wearing snowtrooper armor (18,000 credits) makes you immune to the effects of extreme cold (see Extreme Temperatures, page 254). Wearing sandtrooper armor (18,000 credits) makes you immune to the effects of extreme heat (see Extreme Temperatures, page 254).
",-2,8000,6,2,3,,,10,"Military, Rare",,x,,,,,,Stormtrooper
R,122,w,"Stormtrooper armor, reinforced",,-2,8000,7,2,3,,,10,"Military, Rare",,x,,,,,,Novatroopers
R,121,w,"Stormtrooper, stygian-triprismatic",,-2,9600,7,2,3,,,10,"Military, Rare",,x,+2 equipment to stealth to avoid electronic sensors,,,,,Blackhole Stormtrooper
GW,45,w,Stun cloak,"Stun Cloak (GaW)
Light Armor

This cloak is a weapon as much as it is a form of protection. Lined with micro­filaments attached to a power cell, the stun cloak can emit a powerful electric shock to any character who grapples or is grappled by the wearer. Officers and nobles wear stun cloaks to thwart kidnapping attempts, and commandos who expect to engage in close combat also wear them. The interior of the cloak is insulated to prevent accidental shocks to the wearer.

If the wearer successfully makes a grapple attack or is successfully grappled by an enemy, the stun cloak deals 3d8 points of stun damage.

By doubling the price, the stun cloak can be upgraded to include the same capabilities as an all-temperature cloak (see page 138 of the Saga Edition core rulebook) or the camouflage poncho (see page 46). Otherwise, the stun cloak cannot be upgraded with the Armor Upgrades option from Scum and Villainy.
",-2,3500,1,0,5,,,2,Licensed,1,,"successful grapple or if grappled 3d8 stun dam, double price to be an all-temp cloak or camo poncho",,,,,"Officers, nobles, commandos "
GW,45,w,"Stun cloak, all-temp. cloak upgrade","Stun Cloak (GaW)
Light Armor

This cloak is a weapon as much as it is a form of protection. Lined with micro­filaments attached to a power cell, the stun cloak can emit a powerful electric shock to any character who grapples or is grappled by the wearer. Officers and nobles wear stun cloaks to thwart kidnapping attempts, and commandos who expect to engage in close combat also wear them. The interior of the cloak is insulated to prevent accidental shocks to the wearer.

If the wearer successfully makes a grapple attack or is successfully grappled by an enemy, the stun cloak deals 3d8 points of stun damage.

By doubling the price, the stun cloak can be upgraded to include the same capabilities as an all-temperature cloak (see page 138 of the Saga Edition core rulebook) or the camouflage poncho (see page 46). Otherwise, the stun cloak cannot be upgraded with the Armor Upgrades option from Scum and Villainy.
",-2,7000,1,,5,,,2,Licensed,1,,"successful grapple or if grappled 3d8 stun dam, Fort Def +5 against extreme heat or cold",,,,,"Officers, nobles, commandos "
GW,45,w,"Stun cloak, camo. poncho upgrade","Stun Cloak (GaW)
Light Armor

This cloak is a weapon as much as it is a form of protection. Lined with micro­filaments attached to a power cell, the stun cloak can emit a powerful electric shock to any character who grapples or is grappled by the wearer. Officers and nobles wear stun cloaks to thwart kidnapping attempts, and commandos who expect to engage in close combat also wear them. The interior of the cloak is insulated to prevent accidental shocks to the wearer.

If the wearer successfully makes a grapple attack or is successfully grappled by an enemy, the stun cloak deals 3d8 points of stun damage.

By doubling the price, the stun cloak can be upgraded to include the same capabilities as an all-temperature cloak (see page 138 of the Saga Edition core rulebook) or the camouflage poncho (see page 46). Otherwise, the stun cloak cannot be upgraded with the Armor Upgrades option from Scum and Villainy.
",-2,7000,1,,5,,,2,Licensed,1,,"successful grapple or if grappled 3d8 stun dam, +5 equipment to Stealth",,,,,"Officers, nobles, commandos "
R,124,w,Swamptrooper armor,"Stormtrooper Armor
Light Armor

Worn by the elite soldiers of the Galactic Empire, stormtrooper armor comes in a variety of models based around a standard white- and-black shell. Filled with electronics that assist and augment the stormtrooper in his duties, it includes rudimentary environmental protection, three - phase sonic filtering, and visual amplification.

Variants of this armor also exist, including snowtrooper armor, sandtrooper armor, and clone trooper armor. Each has slightly different details, but all include the basic characteristics common to all stormtrooper armor. Though unavailable on the open market, these suits can occasionally be found on the black market (or sometimes much higher).

Stormtrooper armor (including all variants) grants a wearer who has the Armor Proficiency (light) feat a +2 equipment bonus on Perception checks as well as low-light vision. Stormtrooper armor also includes an integrated comlink in the helmet, allowing hands-free communication.

Wearing snowtrooper armor (18,000 credits) makes you immune to the effects of extreme cold (see Extreme Temperatures, page 254). Wearing sandtrooper armor (18,000 credits) makes you immune to the effects of extreme heat (see Extreme Temperatures, page 254).
",-2,,4,0,4,,,8,"Military, Rare",,x,+2 equipment bonus to Stealth checks to blend in with vegetation & rebreather (1h underwater),,,,,Swamptroopers
D2,17,X,Swoop biker's garb,,-2,2000,3,1,4,,,5,,,,10 hours life support,,,,,Swoop Gang Member
C,64,w,Thinsuit,"Thinsuit (CWCG)
Light Armor

Insulating against extreme pressure and temperature, a thinsuit is a skintight garment that covers the entire body except for the face, which is covered by a breath mask that provides 1 hour of breathable air. The thinsuit comes with an environmental system of minuscule heaters and coolers that allow the wearer to remain comfortable in extreme heat and cold. It provides the wearer with a +5 bonus to Fortitude Defense when resisting extreme temperatures. In addition, the suit further reduces damage taken in such circumstances. If an attack is successful, the character takes only half damage and does not move along the condition track, while a failed attack deals no damage. A thinsuit can be worn under other armors.
",-2,900,0,0,6,,,1,,,,"1 hour breathable air, +5 Fort Def v. extreme temps & if dam = half or no, can wear under clothes & armor",,,,,"professional scouts, Alliance Special Forces"
C,64,w,Tracker utility vest,"Tracker Utility Vest (CWCG)
Light Armor

The tracker utility vest is a simple garment that allows hunters and guides to carry a wide assortment of small equipment without discomforting the wearer. Although they can be constructed from an assortment of materials, tracker utility vests are commonly made from a tough, leathery hide treated to be watertight, stain-proof, and resistant to rips and tears.

The vest features pockets, pouches, and straps capable of carrying up to twenty-four small objects weighing no more than 1 kilogram each. Because the items are stored so that their weight is distributed evenly around the wearer's torso, their cumulative weight is halved for purposes of calculating the wearer's total carried weight.
",-2,300,1,0,5,,,0.5,,,,"carries 24 objects no more than 1kg each, cumulative weight is halved",,,,,hunters and guides
SV,13,w,Ubese environmental suit,,-2,2000,4,2,4,,,8,Licensed,,,with breath mask & voice modulator (year long filter costs 200 or 50 on Ubese),,,,,Ubese
C,64,w,Vacuum pod,"Vacuum Pod (CWCG)
Heavy Armor

The Extra-Vehicular Activity (EVA) pod, or vacuum pod, is a droid-assisted suit of powered armor specifically designed to allow a person to repair a starship while in space. Its systems are designed in so that a wearer not proficient with heavy armor can use it competently in nonstressful situations. The suit, once donned properly, provides full life support to its wearer and also includes external thrusters to allow movement in a zero-gravity environment (speed fly 6). It also features motorized limbs, a complete set of integrated repair tools, and an external compartment to allow the user to carry any extra materials needed to make repairs. The suit's functions are controlled by a dedicated, low-level droid brain that handles all the complex systems of the suit, such as the life support monitoring system and the regulation of the external thrusters.

Vacuum pod users who have the Armor Proficiency (heavy) feat can use the following features and receive the bonuses listed. A wearer who does not have the feat can still use the suit but does not receive any of the equipment bonuses listed below, unless otherwise noted. Regardless, the wearer has any armor check penalties halved while in noncombat situations. Putting on the suit and bringing all the droid's systems online takes 15 minutes. Removing the suit takes only 3 rounds.

Comlink: The suit's integrated comlink has a range of 100 kilometers and can send and receive encrypted messages.
Life Support: The suit provides up to 2 hours of continuous life support with air supply and protection against extreme environments, including hard vacuum.
Powerlamp: The armor comes with an integrated glowrod, which emits a 70-sguare cone of light.
Repair Kit: The tools integrated in the suit's motorized arms give the user a +2 bonus on all Mechanics checks while the systems function.
Strength Augmentation: The suit's power systems grant the wearer a +4 bonus to Strength while the suit is operational.
",-10,15000,4,1,0,4/x3,3/x3,35,,2,,"fly 6, 100 km comlink, 2 hours life support, 70-sq powerlamp, repair kit +2 Mechanics, +4 Str, put on 10 min, remove 3 rnds",,,,,starship mechanic
L,140,w,Venom assault armor,"Venom Assault Armor
Heavy Armor

Part powered armor, part armored spacesuit, Venom Assault armor provides ample protection from hostile attackers and environments. Additionally, the wearer can activate the armor's limited jump jets as a swift action to move at normal speed in zero-g. The jets are not powerful enough to lift an armored trooper in normal gravity. The suit also adds a +2 equipment bonus to the wearer's Strength. However, the wearer must have the Armor Proficiency (heavy) feat to use either the jets or gain the bonus to Strength.

The wearer may survive up to 24 hours in the vacuum of space or other hostile environmental conditions. Much like other Galactic Alliance uniforms and armor sets, the Venom Assault armor has a dark blue and black color scheme and prominently features the Galactic Alliance logo on the shoulder pauldrons.
",-10,17000,10,4,1,4/x3,3/x3,38,Military,,,"jump jets as swif to move normal in zero-g, +2 Str, but must have AP (heavy), 24 hours life support",,,,,Galactic Alliance
CR,133,w,Vonduun crabshell,"Vonduun Crabshell Armor
Light Armor

Yuuzhan Vong warriors wear this bioengineered ""living armor"" into battle.

The armor clings to its wearer's body like a parasite until its wearer dies or decides to remove it. It is not found anywhere except in the hands of the Yuuzhan Vong (see page 285).
",-2,,5,5,4,,,5,Rare,,,,,,,,Yuuzhan Vong
K,72,w,Weave armor,"Weave Armor (KotORCG)
Medium Armor

A civilian model of armor worn by military units throughout the era, weave armor is a relatively flexible and yet durable suit of armor that provides excellent protection to the wearer while restricting movement by only a small amount. Weave armor is favored by warriors whose combat style calls for fast and flexible movements, and is the armor of choice for duelists and gladiators.
",-5,5000,6,2,3,4,3,15,Restricted,,,used by duelists and gladiators,,,,,military
J,63,w,WJ-880 blinding helmet,"WJ-880 Blinding Helmet (JATM)
Light Armor

Typically used during Jedi training, the WJ-880 blinding helmet covers the wearer's eyes, requiring the wearer to rely on the Force for a sense of his or her surroundings. Though technically considered armor, few Jedi would wear the blinding helmet into combat, as doing so grants all targets total concealment from the wearer.
",-2,200,0,0,,,,2,Rare,,,grants total concealment to all targets,,,,,Jedi training
L,66,w,Yuuzhan Vong Biotech,,,x4,,,,,,x0.5,Rare/Illegal,,,repairing requires Treat Injury,,,,,Yuuzhan Vong
R,127,w,Zero-G Stormtrooper Armor,"Zero-Gravity Stormtrooper Armor
Heavy Armor

Designed to enable the Emperor's elite spacetroopers to cut their way through the hull of an enemy vessel during starship combat, zero-gravity stormtrooper armor is essentially a small starfighter. Over two meters tall and twice as wide as a normal Human, zero-gravity armor has earned the spacetroopers the nickname ""walking tanks."" There have been several versions of the zero-gravity armor; the fist two iterations were large, bulky, and really more like small starfighters. The armor presented here is the light spacetrooper armor, which was developed after the Mark II version of the armor came into service.

All zero-gravity stormtrooper armor incorporates shoulder- mounted grenade launchers (loaded with concussion, stun, and gas grenades), a blaster cannon, and a miniature proton - torpedo launcher. The gauntlets are fitted with either rotating blades or laser cutters, enabling spacetroopers to cut through the hulls of enemy craft. The armor is currently manufactured only for Medium characters, and increases the wearer's size to Large. Routine maneuvers in zero-g stormtrooper armor do not require a Pilot check, but the wearer must make a DC 15 Pilot check to perform any maneuver more complicated than simple movement.
",-10,21000,9,3,0,4/x3,3/x3,38,"Military, Rare",,,"increases M size creature to L, DC 15 Pilot for more than simple movement, gauntlets have either rotating blades or laser cutters",,,,,Spacetrooper
