BOOK,PAGE,TALENT,Desc.,TIER,PREREQUISITE,ACT,FP?,MtR?,BENEFIT,CLASS,TREE,ALL
J,77,Immerse Another,"Whenever you make a Stealth check to sneak, you can use your check result in the place of one adjacent ally’s Stealth check to sneak (additionally, if you have the Force Immersion talent, that talent applies to the designated ally as well). Similarly, you can use your Use the Force check result in the place of an adjacent ally’s Use the Force check result to avoid detection by the Sense Force application of the skill. You can spend a Force Point to have this ability apply to all adjacent allies instead of just one. ",2,"Stealth, White Current Adept",,*,,"applies to ally also, spend Force Point to all adjacent allies",Force-Using Traditions,White Current Adept,"Force Disciple, Jedi Master, Sith Lord"
R,23,Immovable,"You can activate this talent as a swift action. Until the start of your next turn, anyone attempting to move you involuntarily (such as with a bantha rush or the move object Force power) takes a -5 penalty to attack rolls or skill checks made to use the effect that would move you. An enemy can only take the penalty from this talent once per attempt, regardless of how many targets have used this talent.",1,,swif,,,anyone attempting to move you involuntarily is -5 to their check/atk,Jedi,Jedi Guardian,Jedi
SV,18,Impaling Assault,"You can hit your opponents to slow them down. Whenever you successfully damage an opponent using a piercing weapon that you have the Weapon Specialization talent for, your opponent reduces its speed by 2 squares until the end of your next turn. The effects of multiple Impaling Assaults do not stack. ",2,Weapon Specialization,,,,"if damage opp with piercing Atk, opponent -2 speed until end of your next turn",Soldier,Weapon Specialist,"Soldier, Weapon Specialist"
C,41,Impart Knowledge,You can aid another on the Knowledge checks of any ally within 6 squares of you as a reaction for Knowledge skills you are trained in. ,2,Skilled Advisor,reac,,,aid on Knowledge checks of ally within 6 sq if you're trained,Jedi Knight,Jedi Archivist,Jedi Knight
CR,210,Impel Ally I,"You can spend a swift action to grant one ally the ability to move its normal speed. The ally must move immediately on your turn, before you do anything else, or else the opportunity is wasted. You can use this talent up to three times on your turn (spending a swift action each time).",1,,swif,,,"ally moves normal speed, must move immediately or wasted, can use 3 times a turn",Crime Lord,Mastermind,Crime Lord
CR,210,Impel Ally II,"You can spend two swift actions to grant one ally the ability to take a standard action or move action. The ally must act immediately on your turn, before you do anything else, or else the opportunity is wasted. ",2,Impel Ally I,2swif,,,"ally can make a standard or move action, immediately or wasted",Crime Lord,Mastermind,Crime Lord
SV,27,Impel Ally III,"Once per encounter, you can spend three swift actions on consecutive turns to grant one ally the ability to take a standard action and a move action. The ally must act immediately on your turn when the final swift action is spent, before you do anything else, or the opportunity is wasted. ",3,Impel Ally II*,3swif,,,"ally can make a standard & move action, immediately or wasted",Crime Lord,Mastermind,Crime Lord
C,47,Impenetrable Cover,"Whenever you have cover against a target, you gain DR equal to your class level against that target until the start of your next turn, provided you still have cover from the target at the time the attack is made. ",2,Maximize Cover,,,,"if in cover, gain DR = CL provided you still have cover when they attack",Vanguard,Vanguard,Vanguard
K,43,Impose Confusion,"Increase the area of Impose Hesitation to a 12-square cone. Also, once per encounter, after making the Persuasion check for Impose Hesitation, you can instead choose to have the targets lose a standard action on their next turn. ",2,Impose Hesitation,,,,"Persuasion 12sq cone v. Will target loses swif action on next & no full, 1/encounter lose stan action",Corporate Agent,Corporate Power,Corporate Agent
K,43,Impose Hesitation,"As a standard action, make a Persuasion check targeting all opponents in a 6-square cone. If you equal or exceed the target's Will Defense, the target loses a swift action on its next turn and cannot take full-round actions. This is a mind-affecting effect. Targets need to see, hear, and understand you to be affected by this attack.",1,,stan,,,Persuasion 6sq cone v. Will target loses swif action on next & no full,Corporate Agent,Corporate Power,Corporate Agent
CR,52,Improved Armored Defense,"When calculating your Reflex Defense, you may add your heroic level plus one-half your armor bonus (rounded down) or your armor bonus, whichever is higher. You must be proficient with the armor you are wearing to gain this benefit. [The extra bonus from Attune Armor, Second Skin, and the Tech Specialist (protective armor) gets included.]",2,Armored Defense,,,,Ref Def bonus = either heroic level + 1/2 armor bonus or armor bonus,Soldier,Armor Specialist,"Gladiator, Imperial Knight, Jedi Knight, Sith Apprentice, Soldier"
S,17,Improved Attack Run,You do not have to move in a straight line when using the attack run action.,1,,,,,do not have to move in straight line on attack run,Ace Pilot,Expert Pilot,Ace Pilot
K,25,Improved Battle Meditation,You may activate your Battle Meditation talent as a swift action instead of as a full-round action. The range of the Battle Meditation extends out to 12 squares. Enemies within the radius of your Battle Meditation suffer a -1 penalty to all attack rolls. ,2,Battle Meditation,swif,,,"activate Battle Meditation as swif not full, range 12sq, enemies within radius -1 attack",Jedi,Jedi Guardian,Jedi
C,22,Improved Consular's Vitality,"Whenever you damage a target with a successful lightsaber attack, you may use the Consular's Vitality talent as a free action instead of a swift action until the start of your next turn. ",2,Consular's Vitality,,,,"when you damage an opponent, use Consular's Vitality as free action",Jedi,Jedi Consular,Jedi
CR,224,Improved Dark Healing,"Your dark healing ability (see above) improves. The range of this ability increases to 12 squares, and even if the attack fails the target takes half damage while you heal an equal amount. ",2,Dark Healing,stan,x,,"range increases to 12 squares, failure deals and heals 1/2 damage",Sith Apprentice,Sith,Sith Apprentice
K,60,Improved Force Sight,"Your natural Force sight is more precise than that of yourfellow Miraluka. You can use the Search application of the Perception skill as a swift action. Additionally, you always succeed when using the Sense Surroundings application of the Use the Force skill (no roll required). ",1,"Force sight, Use the Force skill",swif,,,"can use Search (Perception) as swif, always succeed when using Sense Surroundings (no roll needed)",Force-Using Traditions,Luka Sene,"Force Disciple, Jedi Master, Sith Lord"
C,41,Improved Healing Boost,"When healing somebody through vital transfer, the amount of damage healed increases by 2 points per your class level. ",2,Healing Boost*,,,,damage healed with vital transfer increase by 2 points per class level,Jedi Knight,Jedi Healer,Jedi Knight
CR,49,Improved Initiative,"You may choose to reroll any Initiative check, but the result of the reroll must be accepted even if it is worse. ",2,Acute Senses,,,y,reroll Initiative,Scout,Awareness,"Bounty Hunter, Gladiator, Gunslinger, Martial Arts Master, Pathfinder, Scout, Vanguard"
R,43,Improved Jury-Rig,"You can use the Jury-Rig application of the Mechanics skill as a standard action instead of as a full-round action. Additionally, you are not required to make a skill check to successfully jury-rig a device or vehicle, and the device or vehicle moves +3 steps on the condition track instead of +2.",1,,,,,"Jury-Rig as stan not full, do not have to make check to jury-rig & move up +3 steps not +2",Improviser,Improviser,Improviser
F,43,Improved Lightsaber Throw,"You can spend a Force Point as a standard action to throw your lightsaber at a group of opponents. You make a single ranged attack roll (treating the lightsaber as a thrown weapon) and compare the result to the Reflex Defense of all targets in a 6-square line originating in your square. If your attack roll result exceeds a target's Reflex Defense, you deal normal lightsaber damage to that target (dealing half damage if you fail to exceed the target's Reflex Defense). This attack is considered an area attack. You can pull your lightsaber back to your hand as a swift action by making a DC 20 Use the Force check. [[Weak talent option: remove FP requirement.]] ",2,Lightsaber Throw,stan,x,,"make a single ranged atk & compare to Ref Def of all targets in 6sq line, half on miss, DC20 return",Jedi Knight,Duelist,"Imperial Knight, Jedi Knight, Jedi Master, Sith Apprentice, Sith Lord"
SV,30,Improved Manipulating Strike,"Whenever you successfully use the Manipulating Strike talent, you determine what the target does with its move action on its next turn. You cannot move an opponent into a hazard (such as into lava or off a cliff). ",2,Manipulating Strike,,,,"1/turn when you dam target with non-area atk, Persuasion v. Will Def, you decide their move action",Assassin,Genohardan,Assassin
CR,216,Improved Quick Draw,"If you are carrying a pistol (either in your hand or in a holster), you may draw the pistol and make a single attack during a surprise round even if you are surprised. If you are not surprised, you may take any single action of your choice, as normal.",1,,,,,may attack in surprise round,Gunslinger,Gunslinger,Gunslinger
K,40,Improved Quick Draw (lightsabers),"If you are carrying a lightsaber (either in your hand or at your belt), you can draw the lightsaber, ignite it, and make a single attack during the surprise round even if you are surprised. If you are not surprised, you can take any single action of your choice, as normal. Additionally, once per turn you may draw and ignite a lightsaber as a free action on your turn. ",1,"Quick Draw, WF (lightsabers)",,,,"can draw ignite & attack with lightsaber even if surprised, can draw & ignite lightsaber as free",Jedi Knight,Jedi Watchman,Jedi Knight
K,39,Improved Redirect,"Once per turn, when you successfully redirect an attack with the Redirect Shot talent, do not count the Deflect use that triggered the redirected attack (thus, you take no cumulative penalty to Use the Force checks from that Deflect attempt). Subsequent Deflect attempts before the beginning of your next turn impose penalties as normal. ",3,"Deflect, Redirect Shot",,,,once per turn when you redirect an attack do not count the initial deflect penalty,Jedi Knight,Duelist,"Imperial Knight, Jedi Knight, Jedi Master, Sith Apprentice, Sith Lord"
K,39,Improved Riposte,"When you successfully make a riposte attack using the Riposte talent, you do not count the Block use that triggered the riposte (thus, you take no cumulative penalty to Use the Force checks from that Block attempt). Subsequent Block attempts before the beginning of your next turn impose penalties as normal. ",3,"Block, Riposte",,,,when you make a riposte do not count the initial block penalty,Jedi Knight,Duelist,"Imperial Knight, Jedi Knight, Jedi Master, Sith Apprentice, Sith Lord"
K,39,Improved Sentinel Strike,Increase the damage dice of your Sentinel Strike to d8 instead of d6. ,1,Sentinel Strike,,,,increase damage dice to d8 not d6,Jedi Knight,Jedi Shadow,Jedi Knight
K,39,Improved Sentinel's Gambit,You can use Sentinel's Gambit an additional number of times an encounter equal to half your class level (minimum 1). ,2,Sentinel's Gambit,,,,can use Sentinel's Gambit an additional number of times per encounter = half class level,Jedi Knight,Jedi Shadow,Jedi Knight
SV,15,Improved Skirmisher,"When you move at least 2 squares before your attack and end your move in a different square from where you started, you gain a +1 bonus to all your defenses until the start of your next turn. ",2,Skirmisher,,,,if move at least 2 sq & in a different square +1 all Def,Scoundrel,Misfortune,"Assassin, Bounty Hunter, Saboteur, Scoundrel"
GW,20,Improved Sneak Attack,"You can use the Sneak Attack talent against a target within 12 squares, instead of within 6 squares. ",2,"Sneak Attack, PB Shot",,,,use Sneak Attack for targets w/in 12 sq not 6,Scoundrel,Misfortune,"Assassin, Bounty Hunter, Saboteur, Scoundrel"
SV,31,Improved Soft Cover,"While you occupy a square adjacent to another creature, you can use a swift action to gain a +2 cover bonus to your Reflex Defense until the start of your next turn or until you are no longer adjacent to another creature, whichever comes first. ",2,Innocuous,swif,,,"if adjacent to a creature, +2 Ref Def until your next turn or  no longer adjacent",Charlatan,Trickery,Charlatan
CR,49,Improved Stealth,"You may choose to reroll any Stealth check, but the result of the reroll must be accepted even if it is worse.",1,,,,y,reroll Stealth,Scout,Camouflage,"Elite Trooper, Infiltrator, Scout"
C,40,Improved Stunning Strike,"When you damage an opponent with a melee attack that moves the target down the condition track, the target cannot take any action requiring a standard or full-round action on its next turn. ",3,Stunning Strike,,,,"if move opponent down CT with melee atk, target cannot take stan or full action its next turn",Elite Trooper,Melee Specialist,Elite Trooper
L,31,Improved Suppression Fire,"When you successfully suppress an enemy using the aid another action (see page 151 of the Saga Edition core rulebook), that enemy takes a -5 penalty on its attack rolls until the start of your next turn. When targeting an area with an autofire weapon, each enemy in the attack area takes a -2 penalty on its attack rolls until the start of your next turn, regardless of whether your attack hits.",1,,,,,"when you suppress that enemy is -5 atk, if targeting with autofire each enemy -2 atk in area",Soldier,Weapon Specialist,"Soldier, Weapon Specialist"
F,28,Improved Surveillance,"When you successfully use the Surveillance talent, you grant yourself and your allies a +1 insight bonus to all defenses against that target. ",2,Surveillance,,,,you and allies +1 on all defenses v. target,Scout,Spy,"Infiltrator, Scout"
K,30,Improved Trajectory,You always use the proper trajectories to maximize efficiency of your rocket-pack burn rates. You increase your fly speed by 2 squares when using a jet pack. ,2,Jet Pack Training,,,,increase fly speed 2sq,Soldier,Rocket Jumper,Soldier
CR,43,Improved Weaken Resolve,"As Weaken Resolve (see below), except that the target doesn't stop fleeing from you if it is wounded. (SotG) Unlike with other mind-affecting effects, you need only to hail a vehicle to weaken the crew's resolve. When you deal damage that equals or exceeds a vehicle's damage threshold, you may use this talent; in addition, you may ready an action to use this talent after any gunner on your vehicle deals damage that equals or exceeds a vehicle's damage threshold. You make your check against the vehicle's commander; all nonunique crews are assumed to have a Will Defense of 10. The effect is automatically negated if the target vehicle's Challenge Level is greater than your heroic level or your vehicle's Challenge Level. ",3,Weaken Resolve*,free,,,same as Weaken but target keeps fleeing,Noble,Influence,"Crime Lord, Noble"
R,43,Improvised Device,"You can create a temporary piece of almost any type of equipment from the spare parts you have around. To do so, you must make a DC 25 Mechanics check and spend one hour building the device. The object can have a maximum value of 200 credits x your class level, it cannot have an availability of rare or illegal, and it cannot be unique. The device you create must be something that you would reasonably be familiar with, and after 24 hours the object is destroyed. You can use this talent once per day.",1,,,,,"DC 25 Mechanics & 1 hour to create item = 200 credits x cl cannot be rare or illegal & must be familiar with item, destroyed after 24 hours, 1/day",Improviser,Improviser,Improviser
J,21,Improvised Weapon Master,You take no penalty on attack rolls with improvised weapons.,1,,,,,no penalty on improvised weapons,Jedi Knight,Jedi Weapon Master,Jedi Knight
L,43,Incite Rage,"Once per encounter as a swift action, you can channel your anger and hatred into your allies. All allies within 12 squares of you and in your line of sight gain a +1 rage bonus on attack rolls but take a -2 penalty to their Reflex Defense. This effect lasts until the encounter ends, or you are knocked unconscious or killed.",1,,swif,,,1/encounter all allies w/in 12 sq & LOS +1 rage bonus on atk but -2 Ref Def until end of encounter,Sith Apprentice,Sith Commander,Sith Apprentice
F,28,Incognito,"Spies are adept at concealing their identities, even if not using a physical disguise. You can reroll your Deception check for the purpose of creating a deceptive appearance, using the better result. ",2,Blend In,,,n,can reroll Deception for a deceptive appearance,Scout,Spy,"Infiltrator, Scout"
CR,52,Indomitable,"Once per day as a swift action, you can move +5 steps on the condition track (see Conditions, page 148). This does not remove any persistent conditions that may be affecting you (see page 149). You can select this talent multiple times. Each time you select this talent, you can use it one additional time per day. (SotG) This talent does not affect the condition track of a vehicle.",1,,swif,,,"once per day, +5 CT, but not persistent conditions, can take multiple",Soldier,Commando,"Elite Trooper, Officer, Soldier"
F,88,Indomitable Will,You can spend a Force Point as a standard action to become immune to all mind-affecting effects for 1 minute.,1,,stan,x,,immune to all mind-affecting effects 1 minute,Force Sensitive,Control,"Force Adept, Force Disciple, Imperial Knight, Jedi Knight, Jedi Master, Sith Apprentice, Sith Lord"
J,15,Influence Savant,"Once per encounter as a swift action, you can return one Force power with the [mind-affecting] descriptor to your Force suite without spending a Force Point. You can select this talent multiple times. Each time you select it, you can use it one additional time per encounter.",1,,swif,,,1/encounter can return 1 Force mind-affecting force power w/out FP,Force Sensitive,Alter,"Force Adept, Force Disciple, Imperial Knight, Jedi Knight, Jedi Master, Sith Apprentice, Sith Lord"
F,25,Influential Friends,"You have influential contacts within a certain organization, planet, or region who can provide concrete information to you on certain subjects. Once per day, you can have one of those contacts make a skill check on your behalf. The contact always takes 20 on the skill check (even if the skill would normally not allow taking 20) and has a skill modifier equal to 5 + one-half your heroic level. Contacting your influential allies and receiving the benefit of the skill check takes a number of minutes equal to 10 x the skill check result. (The Influential Friends talent grants a noble an automatic high skill check result that is the result of calling in favors from some well-connected allies. Some Gamemasters might wonder what the talent really represents. In essence, when a noble uses this talent, he calls in a favor from a contact, who sends a representative who has that skill (or just conveys the result of the skill check) to the heroes. For example, if the heroes need information on a crime lord but have no one trained in Gather Information, the noble uses this talent, and his contacts supply the heroes with the information from the resulting Gather Information check. Likewise, if the heroes need to get past a security checkpoint in a very important mission, the noble calls upon his influential friends to have a Deception check made to provide the heroes with high-quality fake identification and paperwork. The heroes must have access to planetary or interplanetary communications systems to use the talent.) ",2,Connections,,,,"once per day friends take 20 on skill check with modifier 5+half your HL, takes 10*result min",Noble,Lineage,"Corporate Agent, Noble"
F,93,Infuse Weapon,"You can spend a Force Point to infuse an unpowered melee weapon (one that does not require an energy cell) with the strength of the Force, making it resistant to the attacks of other weapons. Infusing the weapon takes a full-round action. From that point forward, when you wield the weapon, its damage reduction is doubled, and lightsaber do not ignore the weapon's damage reduction. When you spend a Force Point to modify the attack roll of an infused weapon, you also add 2 x the Force Point's result to the damage roll if the attack is a success.",1,,full,x,,"weapon's DR doubled, lightsabers do not ignore, with Force Point on attack add 2xFP result to dam",Force-Using Traditions,Felucian Shaman,"Force Disciple, Jedi Master, Sith Lord"
L,58,Initiate of Vahl,"Having been formally initiated into Vahl’s priesthood, you are resistant to the effects of fire and extreme heat. You take half damage from attacks that deal fire damage, or no damage on a miss (if the fire damage is part of an area attack).",1,,,,,take half dam from heat or fire or no damage on a miss,Force-Using Traditions,Ember of Vahl,"Force Disciple, Jedi Master, Sith Lord"
SV,31,Innocuous,"As a swift action, you can make a Deception check against a single enemy within 6 squares of you and in line of sight. If the check equals or exceeds the target's Will Defense, the target takes a -5 penalty on all attacks made against you until the start of your next turn.",1,,swif,,,Deception v. Will Def in 6 sq & LOS target -5 Atk v. you until the start of your next turn,Charlatan,Trickery,Charlatan
F,43,Inquisition,You are particularly adept at dealing with Force-sensitive foes. You gain a +1 bonus on attack rolls and deal +1 die of damage against targets that have the Force Sensitivity feat.,1,,,,,+1 attack rolls & +1 die damage vs. Force Sensitives,Force Adept,Imperial Inquisitor,Force Adept
C,41,Insight of the Force,You can make a Use the Force check in place of a Knowledge check for any Knowledge skill you are not trained in. You are considered trained in that Knowledge skill for the purposes of using this talent. If you are entitled to a Knowledge check reroll. you can reroll your Use the Force check instead (subject to the same circumstances and limitations).,1,,,,,"Use the Force replaces Knowledge if not trained, considered trained",Jedi Knight,Jedi Archivist,Jedi Knight
F,92,Insightful Aim,You can spend a Force Point as a swift action to substitute your Use the Force modifier for [ie instead of] your ranged attack bonus when making attacks with a ranged weapon until the beginning of your next turn. ,1,WP (pistols or rifles),swif,x,,substitute Use the Force mod for ranged attack bonus until next turn,Force-Using Traditions,Agent of Ossus,"Force Disciple, Jedi Master, Sith Lord"
C,44,Inspire Competence,"As a swift action once per turn, you can grant one droid ally within your line of sight a competence bonus on its next attack roll made before the start of your next turn equal to half your class level. Additionally, any droid designated as the target of your Networked Mind class feature is considered to have a heuristic processor whenever it is beneficial, even if it does not actually have a heuristic processor. ",2,Expanded Sensors,swif,,,"1/turn one droid ally in LOS +Atk = 1/2 your CL, any in Networked Mind gains heuristic processor",Droid Commander,Droid Commander,Droid Commander
CR,44,Inspire Confidence,"As a standard action, you can inspire confidence in all allies in your line of sight, granting them a +1 morale bonus on attack rolls and a +1 morale bonus on skill checks for the rest of the encounter or until you're unconscious or dead. Once inspired, your allies don't need to remain within line of sight of you. You can't inspire confidence in yourself. This is a mind-affecting effect.",1,,stan,,,"all allies w/in sight, +1 Atk & skills for encounter or N unconscious",Noble,Inspiration,"Droid Commander, Noble"
CR,210,Inspire Fear I,"Your infamy and reputation are such that any opponent whose level is equal to or less than your character level takes a -1 penalty on attack rolls and opposed skill checks made against you, as well as Use the Force checks made to activate Force powers that target you. This is a mind-affecting fear effect.",1,,,,,"opponents of equal or lower level take -1 on Atk rolls, opposed skill checks, & Use the Force",Crime Lord,Infamy,"Crime Lord, Master Privateer"
CR,210,Inspire Fear II,"As Inspire Fear I (see above), except that the penalty increases to -2. ",2,Inspire Fear I,,,,-2 penalty,Crime Lord,Infamy,"Crime Lord, Master Privateer"
CR,210,Inspire Fear III,"As Inspire Fear I (see above), except that the penalty increases to -5. ",3,Inspire Fear I & II,,,,-5 penalty,Crime Lord,Infamy,"Crime Lord, Master Privateer"
CR,44,Inspire Haste,"As a swift action, you can encourage one of your allies within line of sight to make haste with a skill check. On that ally's next turn, that ally can make a skill check that requires a standard action as a move action instead. This is a mind-affecting effect.",1,,swif,,,"ally makes skill check as move action, not standard",Noble,Inspiration,"Droid Commander, Noble"
C,23,Inspire Loyalty,"You gain a single follower. Choose either the aggressive, defensive, or utility follower template for your follower, generating the follower's statistics based on the rules on CW page 32. This follower gains one Armor Proficiency feat of your choice and becomes trained in the Perception skill. The follower must meet the prerequisites for the Armor Proficiency feat you select. You can select this talent multiple times. Each time you do, you gain one additional follower (maximum of 3 followers).",1,,,,,"gain 1 follower with AP feat & trained in Perception, can be taken max 3 times",Noble,Loyal Protector,Noble
SV,27,Inspire Wrath,"As a standard action, you can designate a target to be the object of your allies' wrath. While your allies have line of sight to you or until you are unconscious or dead, your allies gain a +2 morale bonus on attack rolls against the target and a +2 morale bonus on skill checks against that target. You can designate a new target on any round by using another standard action. You can only use this talent against one opponent at a time. ",3,Impel Ally II*,stan,,,allies in LOS +2 Atk & skill checks v. your designated target,Crime Lord,Mastermind,Crime Lord
CR,44,Inspire Zeal,"Whenever an ally within line of sight of you makes an attack that moves an opponent down the condition track (such as by dealing damage that equals or exceeds the target's damage threshold), that ally moves the target an additional -1 step down the condition track. This is a mind-affecting effect. ",3,Ignite Fervor*,,,,ally's attack moves target 1 more down CT,Noble,Inspiration,"Droid Commander, Noble"
J,17,Instinctive Navigation,You can substitute your Use the Force skill for [ie instead of] any Use Computer check made to astrogate or operate sensors while you are the pilot of a vehicle. ,2,Force Pilot,,,,Use the Force replaces Use Computer for astrogation,Force Sensitive,Sense,"Force Adept, Force Disciple, Imperial Knight, Jedi Knight, Jedi Master, Sith Apprentice, Sith Lord"
F,25,Instruction,"Once per encounter, as a standard action, you can boost the competence of one of your allies within 6 squares. That individual gains the ability to make a single skill check using your skill modifier (except Use the Force); this skill check must be made before the end of the encounter, or the benefit is lost. You can select this talent multiple times. Each time you do so, you gain one additional use of this talent per encounter.",1,,stan,,,once per encounter for one ally within 6sq can use your skill modifier for a skill check (not Use Force),Noble,Ideologue,Noble
UR,30,Instrument of the Force,"You are particularly in tune with the living Force. When you successfully use Search Your Feelings, you gain a Force Point that must be used before the end of the encounter. If you use this Force Point in a manner that would end in unfavorable results (per Search Your Feelings), you raise your Dark Side Score by 1. If you use the Force Point in an action that would normally raise your Dark Side Score, you raise your Dark Side Score by 2 instead.",1,,,,,"when successfully Search Your Feelings gain FP & use before end of enc, if use w/unfavorable gain Dark Side Point, if use & gain Dark Side Point gain 2 points",Force Adept,Force Adept,"Force Adept, Force Disciple"
F,45,Intentional Crash,"You know how to intentionally crash an opponent's moving vehicle. When you successfully deal damage to a vehicle by ramming it, your vehicle takes half damage from the ram. Additionally, if the target vehicle is the same size as your vehicle or smaller, that vehicle cannot move in the following round. ",1,Pilot,,,,"successful ram you take half from ram, if target is same size or smaller they cannot move next round",Enforcer,Enforcement,Enforcer
F,102,Interrogator,"You can create an aura of unliving, emotionless menace that no biological creature can match, and combine it with the cruel application of medical knowledge. You can use your Treat Injury modifier on a Persuasion check to change attitude or intimidate. You must be adjacent to your target to use this ability, in addition to the normal requirements for these uses of the Persuasion skill.",1,,,,,"v. adjacent, use Treat Injury instead of Persuasion to change attitude or intimidate",Droid,First-Degree Droid,Droid
F,28,Intimate Knowledge,"Experienced spies and scouts remember many details from previous assignments, providing insights on later missions. Once per encounter as a standard action, you can take 20 on a check involving a Knowledge skill you are trained in, or take 10 on a check involving a Knowledge skill you are untrained in, even if circumstances would not normally allow you to take 10 or 20. ",2,Surveillance,stan,,,1/enc can take 20 on trained Knowledge or take 10 on untrained Knowledge even if can't,Scout,Spy,"Infiltrator, Scout"
K,26,Intimidating Defense,"Once per encounter, as a reaction, you can make a Persuasion check to intimidate one creature that has made a melee or ranged attack against you if that creature is within line of sight. If you succeed, you impose a -5 penalty to that attack roll. If the target is higher level than you, it gains a +5 bonus to its Will Defense against the Intimidating Defense. This is a mind-affecting effect. ",2,"Presence, Persuasion",reac,,,"1/encounter, Persuasion if opp has attacked you, vs. Will then -5 that Atk (+5 if opp higher level)",Noble,Influence,"Crime Lord, Noble"
C,47,Invisible Attacker,"If your target is unaware of you, your ranged attacks deal +1 die of damage against that target. ",2,Maximize Cover,,,,"if target is unaware of you, +1 die dam from ranged",Vanguard,Vanguard,Vanguard
F,52,Ion Mastery,"You know the typical weaknesses of vehicles and droids, and you know how to preserve such targets for capture rather than destroying them. When attacking with ion weapons, you gain a +1 bonus on attack rolls and deal +1 die of ion damage.",1,,,,,with ion weapons +1 Atk & +1 die dam,Master Privateer,Privateer,Master Privateer
F,47,Ion Resistance 10,You gain DR 10 against ion damage.,1,,,,,DR10 against ion dam,Independent Droid,Autonomy,Independent Droid
F,57,Ion Turret,You can construct a turret that is highly effective against droids. The turret deals ion damage instead of normal damage. ,2,Blaster Turret I,stan,,,"1/encounter, Tiny Init +4 Percep +4 Ref Def 10 10hp thresh 8 turret, 3d6 ion, you must be adjacent",Saboteur,Turret,Saboteur
UR,31,Irregular Tactics,"Your tactics confuse enemy commanders and tacticians that can see or otherwise observe your forces in action, such as when using sensors. After using the Share Talent special quality, make a Knowledge (tactics) check as a free action. The result replaces the DC of any talents that use Knowledge (tactics) from the Military Tactics talent tree used against your or your allies. ",1,Share talent special quality,,,,after using share talent Knowledge (tactics) as free to replace DC of any talents from this tree,Officer,Military Tactics,Officer
S,18,It's a Trap!,"You are skilled at sensing the plans of enemy naval officers and counteracting them. Once per encounter as a reaction, you can grant the pilot of any single vehicle within line of sight (including a vehicle you are commanding) an immediate move action.",1,,reac,,,"once per encounter, a single vehicle in LOS and immediate move action",Officer,Naval Officer,Officer
CR,218,Jar'Kai,"When you use the Lightsaber Defense talent, you gain twice the normal deflection bonus to your Reflex Defense when you are wielding two lightsabers. ",3,"Lightsaber Def, Niman",,,,twice Lightsaber deflection bonus with two lightsabers,Jedi Knight,Lightsaber Forms,Jedi Knight
K,39,Jedi Battle Commander,You are trained to direct Jedi in pitched battles. Your battle meditation grants a +2 insight bonus on attack rolls instead of the normal +1. ,2,Battle Meditation,,,,your Battle Meditation grants +2 to attack not +1,Jedi Knight,Jedi Battlemaster,Jedi Knight
F,42,Jedi Hunter,You are skilled at fighting Jedi and other Force-users. You gain a +1 insight bonus to Fortitude and Will Defense and deal +1 die of damage against characters who have the Force Sensitivity feat.,1,,,,,Fort & Will Def +1 & you deal +1 die dam against Force Sensitives,Bounty Hunter,Bounty Hunter,Bounty Hunter
L,42,Jedi Network,"You have access to a network of Jedi sympathizers. While in a civilized area, you can call upon this network of allies once per game session for one of the following purposes: • Acquire Equipment or Funds: You can use your contacts to obtain material that might otherwise be licensed, restricted, military, or illegal, provided the total value of the equipment does not exceed your level in this class x 500 credits. Alternately, you can obtain a number of credits from your contacts equal to this amount to spend as you see fit. • Obtain Information: Your contacts provide you with information, automatically succeeding on a Gather Information check (and covering the credit cost of the check) provided that the DC does not exceed 20. • Receive Medical Attention: Your contacts provide you and up to three of your allies with medical attention as dispensed by a skilled physician or healer. The length of the treatment cannot exceed 24 hours, but is otherwise free of charge and completely private. •Secure Safe house: One of your contacts provides a safe redoubt for you and up to three of your allies, for a number of days equal to your Jedi Knight class level. While in hiding, you have no contact with anyone other than the individual who is hiding you. Once the allotted time is up, you must leave the safe house or risk discovery. For each day you remain in hiding past this deadline, the Gamemaster should roll 1d20. On a result of 15 or higher, your safe house is discovered, and your contact's complicity in keeping you hidden is exposed.",1,,,,,"includes Acquire Equipment or Funds, Obtain Info, Receive Medical Attention, Secure Safe House",Jedi Knight,Jedi Refugee,Jedi Knight
J,20,Jedi Quarry,"As a swift action, you designate a single target creature as the focus of your attentions. You gain a +2 bonus to your speed any time you spend a move action to move, provided that you end your movement adjacent to the target. You retain this bonus (and may not use this talent again) until your target surrenders, is reduced to 0 hit points, or moves to the bottom of the condition track, or until the encounter ends.",1,,swif,,,+2 speed if you end move adjacent to target,Jedi Knight,Jedi Investigator,Jedi Knight
K,30,Jet Pack Training,"You can activate a jet pack as a free action on your turn. You need not make Pilot checks to land safely with a jet pack. [[Normally, activating a jet pack is a swift action, and you must make a DC 20 Pilot check if you land after moving more than 12 squares during the same turn; on a failure, you fall prone.]]",1,,,,,"activate as free, no Pilot check to land",Soldier,Rocket Jumper,Soldier
K,30,Jet Pack Withdraw,"Once per encounter, as a reaction when an opponent moves adjacent to you, you can expend one charge of your jet pack to fly and move your speed or withdraw. ",2,Jet Pack Training,reac,,,once per encounter when enemy moves adjacent expend one charge to fly or move speed or withdraw,Soldier,Rocket Jumper,Soldier
