BOOK,PAGE,DROID SYSTEM,Desc.,GROUP,COST,WEIGHT,AVAIL.,COMMENTS & BENEFITS
CR,196,"Shield Generator, SR20","The droid is fitted with a deflector shield generator-the same type mounted on starships. Whenever the droid would take damage, reduce the damage by the droid's shield rating (SR). If the damage is equal to or greater than the droid's shield rating, the droid's shield rating is reduced by 5. By spending three swift actions on the same or consecutive rounds, the droid may make a DC 20 Endurance check to restore lost shield power. If the check succeeds, the droid's shield rating increases by 5 points (up to its normal shield rating).

Due to the size and energy requirements of shield generators, only droids of Small size or larger can be equipped with a SR 10 generator. Only droids of Medium size or larger can be equipped with a SR 15 generator. Only droids of Large or bigger size can be equipped with a SR 20 generator.

",Shield Generator,10000xCF,(40xCF),Military,"SR drops with -5 if taking over current SR, DC20 endurance to restore 5pt, min large"
CR,196,"Shield Generator, SR5","The droid is fitted with a deflector shield generator-the same type mounted on starships. Whenever the droid would take damage, reduce the damage by the droid's shield rating (SR). If the damage is equal to or greater than the droid's shield rating, the droid's shield rating is reduced by 5. By spending three swift actions on the same or consecutive rounds, the droid may make a DC 20 Endurance check to restore lost shield power. If the check succeeds, the droid's shield rating increases by 5 points (up to its normal shield rating).

Due to the size and energy requirements of shield generators, only droids of Small size or larger can be equipped with a SR 10 generator. Only droids of Medium size or larger can be equipped with a SR 15 generator. Only droids of Large or bigger size can be equipped with a SR 20 generator.

",Shield Generator,2500xCF,(10xCF),Military,"SR drops with -5 if taking over current SR, DC20 endurance to restore 5pt"
SGD,62,Silence-bubble generator,"The silence -bubble generator creates an energy sphere that dampens sound waves. The apparatus is originally marketed as a way for music lovers to enjoy their favorite music without being disturbed by noise. However, spies and crime lords also find the generator useful. Activating the silence bubble is a standard action. The bubble covers all squares within 3 squares of the droid. Any attempt to hear anything inside the bubble by someone outside of the bubble takes a -10 penalty to Perception checks.

",Accessory,3500,20xCF,Licensed,"stan to activate, covers all sq w/in 3 sq, -10 Perception to hear"
CR,139,Sonic welder,,Appendage,,,,tool mount; 1d8 energy
SGD,63,Space-beacon launcher,"Space beacons are used by pilots and flight crews to mark specific locations or to help navigate through hazardous areas of space. A beacon is .25 meters long and can transmit a signal throughout an entire star system, if it is not blocked by nebular gases or signal jamming systems. The spacebeacon launcher-modeled after a small version of the standard space mine launcher-enables a droid to quickly position space beacons while in f light. The system can carry up to 12 beacons. Additional storage can be added, increasing the cost of the launcher by 10% for each additional beacon (up to a maximum of 24 beacons) . Locating a beacon requires a DC 10 Use Computer check when using a ship's sensor system.

",Accessory,5000,10,-,"12 beacons & additional for 10% for each up to 24, locate with DC 10 Use Computer"
SGD,53,Specialized subprocessor,"Specialized Subprocessor (SGtD): Specialized subprocessors are customized processing units designed to aid droids in specific tasks. Varying in size, abilities, cost, and difficulty of installation, each subprocessor enables a droid to carry out a specific calculation or analysis more quickly or simultaneously with other tasks. A specialized subprocessor grants a droid a single extra swift action each turn that can only be used to perform an action related to a single skill, chosen at the time the subprocessor is created. A droid can only have one specialized subprocessor. For examples of specialized subprocessors, see the modifications sections of some droids described in this volume, such as the GD1 6-Series pilot droid on page 100.

",Processors,1000,2,-,"+1 swif each turn to perform action related to 1 skill, limit 1 per droid"
CR,195,Spring-loaded mechanism,"Spring-Loaded Mechanism: This device allows a Small, Medium, or Large droid to launch an item held in an internal storage compartment up to 4 squares as a standard action. The item can weight no more than 4 kg, and the droid makes a ranged attack against Reflex Defense 10 to launch the projectile into a designated square. Anyone within reach of the target square who has a readied action can try to catch the item, provided the droid's attack succeeds. (If the attack fails, the item lands in a randomly determined square adjacent to the target square.) Catching the item requires a DC 10 Dexterity check and is considered a move action.

Spring-loaded mechanisms are not typically designed (or practical) for droids of Huge or larger size.

",Accessory,150,3,-,"S, M or L launch 1 object 4 squares, max 4kg (ranged attack vs REF 10). Catch DC10 DEX (move)"
CR,190,Stabilized Mount,"For five times the listed cost and weight, a tool appendage can be stabilized so that it can hold a larger weapon. This allows the droid to use that weapon as if was wielded in two hands.

",Appendage,x5,x5,-,Can hold large weapon as if held with two hands
CR,189,Stationary Droids,"Stationary Droids: Stationary droids do not have a locomotion system and cannot move from a fixed location. 

",Locomotion,-,-,-,Droid cannot move
SGD,63,Survival kit,"Droids do not worry about water, food, or the elements, but their masters do. A survival kit is the perfect accessory for long treks into the wilderness. It contains a small refrigeration unit, a water recycler and dispenser, a rechargeable glow rod, and a fire sparker. When aiding a Survival check, a droid with this accessory gives a +4 bonus to the check rather than the normal +2 bonus.

",Accessory,100,1,-,+4 when aiding Survival check
CR,191,Synchronized Fire Circuits,"Synchronized Fire Circuits: A droid with a remote receiver can have synchronized fire circuits that better coordinate its actions with other droids. When successfully using the aid another action to assist another droid connected to the same remote processor, a droid with synchronized fire circuits grants a +5 bonus instead of a +2 bonus on the other droid's check or roll.

",Processors,150,1,Military,When synchronized droids help each other they grant an additional +5 to the roll
SGD,54,Tactician battle computer,"Tactician Battle Computer (SGtD): Strict governmental regulations apply to fourth-degree droids. However, droid manufacturers know that money can be made by manufacturing droids for war, so they develop systems such as the tactician battle computer to circumvent restrictions on fourth-degree droids. This software package and transmitter can be installed on any droid. Additionally, small transceivers must also be installed on the ranged weapons used with the package. Restrictions prohibit the droid from using any weapons other than those with transceivers associated with its tactician battle computer. In fact, if the droid running the tactician battle computer picks up a weapon not equipped with the transceiver, the tactician battle computer shuts down and can be restarted only after succeeding on a DC 20 Mechanics check.  

The droid spends a standard action to analyze the current battle conditions. The droid transmits its findings to the sensors installed on the weapons of its allies. The droid automatically grants a +2 bonus to the next attack roll made by a number of allies equal to its Intelligence modifier (minimum 1). If an ally does not make its next attack before the end of its next turn, this bonus is lost. Only ranged weapons can be used with the tactician battle computer.
",Processors,5000,10,Restricted,stan action to send data to # of allies ranged weapons for +2 atk = Int mod
SGD,63,Taser,"Many star systems prohibit droids from carrying lethal weapons or having such systems installed without the proper permits. A taser is a nonlethal projectile weapon that droids can use to defend themselves. It fires two small projectiles attached to long, thin wires that deliver an electric charge that incapacitates an organic target's nervous and muscular systems. If the target is a droid, the electric current acts like an ion gun and interferes with the droid's systems. Additionally, a taser can be used as a melee weapon like an electroshock probe.

",Accessory,250,2,Licensed,"like ion v. droid, as electroshock probe"
CR,190,Telescopic Appendage,"The droid has an appendage that reaches farther from its body than normal.

A telescopic appendage has twice the normal reach for the droid's size.

For example, a Medium droid with a telescopic appendage has a reach of 2 squares.

",Appendage,x2,(N.Wx2),-,Twice normal reach
CR,190,Tool,"Tool: Tool appendages are somewhat sturdier than instruments. A droid must make a DC 15 Dexterity check to lift, carry, or drag objects for which its tools were not designed. The GM might rule that particularly delicate objects have a higher DC. If the check fails, the droid drops the object.

Weapons mounted on a droid are considered tool appendages unless otherwise noted. A tool mount does not include the cost of the tool or weapon mounted on it.

",Appendage,10xCF,(2xCF),-,"Specific tool, can push/lift/carry/drag objects with DC15 DEX"
CR,188,Tracked,"Tracked Droids: Tracked droids are an improvement on the wheeled droid, having ridged treads that give them more traction. Tracked droids ignore the penalties of difficult terrain, but they take a -5 penalty on all Climb checks.

",Locomotion,20xCFxSp²,-,-,Speed: F-S: 4 M: 6 L-C: 8
CR,196,"Translator Unit, DC10","The droid is equipped with a device that allows it to understand and convey information in a variety of languages, including nonverbal ones. When the droid experiences a form of communication for the first time, it makes an Intelligence check to determine whether it can identify and understand the language. The DC is based on the translator unit's database, with the better units having a lower DC.

",Translator Unit,1000,4,-,Roll Int vs DC to see if droid understands a new language
CR,196,"Translator Unit, DC15","The droid is equipped with a device that allows it to understand and convey information in a variety of languages, including nonverbal ones. When the droid experiences a form of communication for the first time, it makes an Intelligence check to determine whether it can identify and understand the language. The DC is based on the translator unit's database, with the better units having a lower DC.

",Translator Unit,500,2,-,Roll Int vs DC to see if droid understands a new language
CR,196,"Translator Unit, DC20","The droid is equipped with a device that allows it to understand and convey information in a variety of languages, including nonverbal ones. When the droid experiences a form of communication for the first time, it makes an Intelligence check to determine whether it can identify and understand the language. The DC is based on the translator unit's database, with the better units having a lower DC.

",Translator Unit,200,1,-,Roll Int vs DC to see if droid understands a new language
CR,196,"Translator Unit, DC5","The droid is equipped with a device that allows it to understand and convey information in a variety of languages, including nonverbal ones. When the droid experiences a form of communication for the first time, it makes an Intelligence check to determine whether it can identify and understand the language. The DC is based on the translator unit's database, with the better units having a lower DC.

",Translator Unit,2000,8,-,Roll Int vs DC to see if droid understands a new language
SGD,52,Underwater drive,"A droid purchased on a water world such as Mon Calamari comes with an underwater drive as a standard option. The drive process is simple. The engine draws water in through the front of the drive and expels it quickly out the back. An underwater drive gives the droid a swim speed equal to its base land speed.

",Locomotion,20xCFxSp²,10xCF,Licensed,"comes standard if purchased on water world, swim spd = land spd"
SGD,63,Video screen,"This accessory gives the droid a small, built-in video screen to display text, translations, diagnostics, programming, pictures, and other information. Screen sizes vary from 50mm to 500mm and are priced at 1 credit per square millimeter of screen size.

",Accessory,1xsq mm,1+.01kg,-,"built-in video screen to display text, translations, diagnostics, programming, pictures, etc"
CR,193,Vocabulator,"Vocabulator: The droid is equipped with a speaker that enables it to emulate speech, rather than simply spout machine code. This device is standard if the droid has ability to speak any language other than Binary.

",Communications,50,0.5,-,Droid can speak other languages than binary
SGD,63,Voice-print command lock,"This accessory ensures that a droid is able to obey only its master. With a voice-print command lock installed, a droid follows only commands issued by a single source. The droid analyses the voice print of its master and ignores commands from anyone else. A recording of the master's voice can be used, but getting the droid to obey a recorded command requires a Use Computer check against the droid's Will Defense with a +5 bonus to the droid's defense.

",Accessory,400,1,-,"follows command from single source, to obey recording = Use Computer v. Will Def + 5"
CR,188,Walking,"Walking Droids: Walking droids are the most versatile droids, having legs and feet that let them travel like bipeds, quadrupeds, and other similar creatures. The most common chassis for walking droids is the ""humanoid"" form (two arms, two legs, and a head). They suffer the usual penalties when moving through difficult terrain (See Difficult Terrain, page 159).

",Locomotion,10xCFxSp²,-,-,Speed: F-S: 4 M: 6 L-C: 8
SGD,63,Weapon detector,"Droids use sophisticated sensor systems, which can easily be adjusted to offer additional security. A weapon-detector package features a high-frequency receiver that can detect the hum of a deactivated vibro-weapon. It can also perform a chemical analysis to detect tibanna gas residue on blasters.

A weapon-detector package allows a droid to add its Intelligence modifier to Perception checks made to Search for weapons.

",Accessory,1500,5,Licensed,add Int mod to Perception made to Search for weapons
CR,188,Wheeled,"Wheeled Droids: Wheeled droids use one or more powered wheels to move and are generally designed to traverse smooth surfaces. Wheeled droids can't use the Climb skill, and the penalties of moving through difficult terrain are doubled.

",Locomotion,5xCFxSp²,-,-,Speed: F-S: 6 M: 8 L-C: 10
SGD,62,YV sensor package,"YV Sensor Package (SGtD): Standard on the YVH-Series battle droid (see page 158), a YV pack can be successfully installed on other droids, including mouse droids. The YV pack features highly specialized sensors calibrated specifically to detect Yuuzhan Vong, including those concealed by ooglith masquers or other methods. The sensor pack grants a +10 bonus to Perception rolls to detect Yuuzhan Vong within 12 squares and within line of sight of the droid.

",Sensors,1000,3,Military,+10 Perception to detect Yuuzhan Vong w/in 12 sq & LOS
