BOOK,PAGE,HAZARD,Type,Location,CL,Trigger,Attack,Defense,Damage (type; failure),Recurrence,Special,Skill 1,Skill 2,Skill 3
S,33,"Space Objects, Dense","Space: Asteroids, Debris, Etc.; Artificial or Natural",Space,20,,Special,,8d6+40 (collision),,"Sq. that contains asteroids, debris or other objects reqs 2 sq of movement to enter sq that contains such an object hazard; any vehicle passing thru asteroids or debris must succeed at Pilot check DC35 or take collision dmg; sq that contains asteroids or debris provides cover (+5 cover bonus to Ref Def) against any atks passing thru or into sq; vehicle traffic functions similarly: sq are dense if you move against traffic; unless a particular vehicle is significant for some reason, not necessary to use normal vehicle combat stats to represent their movement or effects of collision",,,
S,33,"Space Objects, Moderate","Space: Asteroids, Debris, Etc.; Artificial or Natural",Space,10,,Special,,6d6+30 (collision),,"Sq. that contains asteroids, debris or other objects reqs 2 sq of movement to enter sq that contains such an object hazard; any vehicle passing thru asteroids or debris must succeed at Pilot check DC25 or take collision dmg; sq that contains asteroids or debris provides cover (+5 cover bonus to Ref Def) against any atks passing thru or into sq; vehicle traffic functions similarly: sq are moderate if you move thru traffic; unless a particular vehicle is significant for some reason, not necessary to use normal vehicle combat stats to represent their movement or effects of collision",,,
S,33,"Space Objects, Sparse","Space: Asteroids, Debris, Etc.; Artificial or Natural",Space,4,,Special,,4d6+20 (collision),,"Sq. that contains asteroids, debris or other objects reqs 2 sq of movement to enter sq that contains such an object hazard; any vehicle passing thru asteroids or debris must succeed at Pilot check DC15 or take collision dmg; sq that contains asteroids or debris provides cover (+5 cover bonus to Ref Def) against any atks passing thru or into sq; vehicle traffic functions similarly: sq are sparse if you move w/ traffic; if you move w/ flow of traffic at same speed, gain +10 circumstance bonus on Pilot check to avoid collision; unless a particular vehicle is significant for some reason, not necessary to use normal vehicle combat stats to represent their movement or effects of collision",,,
UR,103,Space Sickness,Natural,Space,1,Creature is exposed to weightlessness,+0,Fort,Target moves -1 persistent step on CT,"Once, after 8 hrs",Persistent condition is removed from a creature after 8 hrs rest.,Treat Injury (DC20): Char removes persistent condition.,,
S,34,"Space: Damaging Environment, Heavy",Space: Damaging Environment; Natural,Space,??,,+45,Fort,6d10x2 (1/2),,"Corrosive Gases: Ignore target's SR (but not DR) when dealing dmg. Might also provide poor visibility. Dust Clouds: Usually encountered as part of an asteroid field or planetary ring system. Provide very poor visibility. Deal no dmg if vehicle doesn't move, but deal +1 die of dmg for every sq of movement. Ionic Discharges: Deals ion dmg to all vehicles w/in affected sqs. Radiation: Extend to all sq on battle grid, but GM can designate some sqs as being in the shadow of planet or moon.",,,
S,34,"Space: Damaging Environment, Light",Space: Damaging Environment; Natural,Space,??,,+15,Fort,2d10x2 (1/2),,"Corrosive Gases: Ignore target's SR (but not DR) when dealing dmg. Might also provide poor visibility. Dust Clouds: Usually encountered as part of an asteroid field or planetary ring system. Provide poor visibility. Deal no dmg if vehicle doesn't move, but deal +1 die of dmg for every sq of movement. Ionic Discharges: Deals ion dmg to all vehicles w/in affected sqs. Radiation: Extend to all sq on battle grid, but GM can designate some sqs as being in the shadow of planet or moon.",,,
S,34,"Space: Damaging Environment, Moderate",Space: Damaging Environment; Natural,Space,??,,+30,Fort,4d10x2 (1/2),,"Corrosive Gases: Ignore target's SR (but not DR) when dealing dmg. Might also provide poor visibility. Dust Clouds: Usually encountered as part of an asteroid field or planetary ring system. Provide poor visibility. Deal no dmg if vehicle doesn't move, but deal +1 die of dmg for every sq of movement. Ionic Discharges: Deals ion dmg to all vehicles w/in affected sqs. Radiation: Extend to all sq on battle grid, but GM can designate some sqs as being in the shadow of planet or moon.",,,
S,34,"Space: Periodic Damage, Frequent and light",Space: Periodic Damage; Artificial or Natural,Space,,,Autohit,,3d10x2,Every rnd,Affects only certain sqs and auto dmgs any target w/in 1 sq of those sqs. Always occur on Init 10.,,,
S,34,"Space: Periodic Damage, Frequent and moderate",Space: Periodic Damage; Artificial or Natural,Space,,,Autohit,,6d10x2,Every rnd,Affects only certain sqs and auto dmgs any target w/in 1 sq of those sqs. Always occur on Init 10.,,,
S,34,"Space: Periodic Damage, Frequent and severe",Space: Periodic Damage; Artificial or Natural,Space,,,Autohit,,3d10x5,Every rnd,Affects only certain sqs and auto dmgs any target w/in 1 sq of those sqs. Always occur on Init 10.,,,
S,34,"Space: Periodic Damage, Often and light",Space: Periodic Damage; Artificial or Natural,Space,,,Autohit,,3d10x2,Every other rnd,Affects only certain sqs and auto dmgs any target w/in 1 sq of those sqs. Always occur on Init 10.,,,
S,34,"Space: Periodic Damage, Often and moderate",Space: Periodic Damage; Artificial or Natural,Space,,,Autohit,,6d10x2,Every other rnd,Affects only certain sqs and auto dmgs any target w/in 1 sq of those sqs. Always occur on Init 10.,,,
S,34,"Space: Periodic Damage, Often and severe",Space: Periodic Damage; Artificial or Natural,Space,,,Autohit,,3d10x5,Every other rnd,Affects only certain sqs and auto dmgs any target w/in 1 sq of those sqs. Always occur on Init 10.,,,
S,34,"Space: Periodic Damage, Rare and light",Space: Periodic Damage; Artificial or Natural,Space,,,Autohit,,3d10x2,Every 1d4+1 rnds,Affects only certain sqs and auto dmgs any target w/in 1 sq of those sqs. Always occur on Init 10.,,,
S,34,"Space: Periodic Damage, Rare and moderate",Space: Periodic Damage; Artificial or Natural,Space,,,Autohit,,6d10x2,Every 1d4+1 rnds,Affects only certain sqs and auto dmgs any target w/in 1 sq of those sqs. Always occur on Init 10.,,,
S,34,"Space: Periodic Damage, Rare and severe",Space: Periodic Damage; Artificial or Natural,Space,,,Autohit,,3d10x5,Every 1d4+1 rnds,Affects only certain sqs and auto dmgs any target w/in 1 sq of those sqs. Always occur on Init 10.,,,
UR,114,Speeder Traffic,Artificial,Indoor/Urban,8,Creature or droid begins its turn in speeder traffic,+10,Ref,4d6,"Each rnd at start of target's turn, as long as target is in speeder traffic",,"Acrobatics (DC23): Char weaves and tumbles through traffic, gaining +2 circumstance bonus to Ref Def against hazard.","Jump (DC23): Char jumps out of way of oncoming speeder or makes an effort to leap from one speeder to another, gaining +2 circumstance bonus to Ref Def against hazard.","Perception (DC18): Char watches carefully for oncoming speeders, gaining +1 circumstance bonus to Ref Def against hazard."
UR,120,Spiner Plant,Contact; Natural; Poison,Swamp,8,Creature touches the plant,+10,Ref,2d8 and target moves -1 step on CT (; 1/2 dmg and no CT movement),On trigger,Thorns of plant deliver toxin.,Know(life sciences) (DC18): Char identifies spiner plant.,"Perception (DC23): Char spots spiner plant before it atks, gaining +2 circumstance bonus to Ref Def against hazard.","Stealth (DC28): Char harvests plant w/o setting off its defense mechanism, gaining +5 bonus to Ref Def against hazard."
UR,120,Spiner Plant Toxin,Contact; Natural; Poison,Swamp,8,Creature is hit by atk of spiner plant hazard,+10,Fort,2d8 and target moves -1 step on CT and gains persistent condition (; 1/2 dmg),None,,Treat Injury (DC23; req medical kit): Persistent condition caused by toxin is removed.,,
UR,168,Storm over Durace,Atmospheric; Energy; Natural,,9,Vehicle begins its turn in storm over Durace,+11,Ref,2d10+3x2 (energy; 1/2 dmg),On trigger; descending through storm takes 3 rnds,,Pilot (DC23): Char reduces # of rnds it takes to pass through storm by 1 rnd,,
UR,121,Strangle Vines,Natural,Swamp,6,Creature begins its turn w/in area occupied by vines,+8,Ref,2d6+1 and target moves -1 step on CT,"Each rnd at start of target's turn, as long as target is w/in area occupied by vines","If hazard's atk exceeds target's Ref Def by 5 or more, vines wrap around target's neck and begin choking victim.","Endurance (DC27): If char is being choked by strangle vines, for 1 rnd they take only 1/2 dmg and don't move on CT.","Know(life sciences) (DC22): Char identifies strangle vines. As result, char and their allies gain +1 circumstance bonus to Ref Def against hazard.",
UR,121,Sucking Mud,Natural,Swamp,1,Creature or droid begins its turn in the sucking mud,+3,Ref,Special,"Each rnd at start of target's turn, as long as target is w/in area occupied by sucking mud","If hazard successfully atks creature, target becomes stuck in mud and can't move from its current sq until it succeeds on DC15 Str check.","Jump (DC13): Char leaps over patch of mud, gaining +5 circumstance bonus to Ref Def against hazard.","Perception (DC13): Char spots sucking mud, gaining +2 circumstance bonus to Ref Def to avoid hazard.","Survival (DC18): Char knows technique to escape from mud more easily, gaining +2 circumstance bonus to Str check to free themselves from mud."
D6,31,Surface Power Coupling,Environmental; Artificial; Area,Indoor/Urban,,,+5 area,Ref,4d10 (ion; 1/2),,Must destroy power coupling w/ successful ranged atk against Ref Def 25 dealing at least 15 pts of dmg while flying through the tongs ,,,
UR,121,Swamp Gas,Atmospheric; Area; Fire; Natural,Swamp,4,"A spark or fire-starting energy source, such as a blaster bolt, comes into contact w/ swamp gas; targets all creatures, droids and objects in 2x2 sq area",+6 area,Ref,2d10+1 (fire; 1/2 dmg),On trigger,,"Acrobatics (DC21): Char rolls away from swamp gas as it ignites, gaining +2 circumstance bonus to Ref Def against hazard.",Know(physical sciences) (DC16): Char recognizes presence of swamp gas.,
UR,111,Thornbushes,Natural,Forest/Jungle,2,Creature begins its turn in thornbushes,+4,Ref,2d10 (; 1/2 dmg),"Each rnd at start of target's turn, while target is in thornbushes","Hazard can be avoided by cutting through thornbushes w/ edged tool, melee wpn, or lightsaber.","Jump (DC19): Char jumps over thornbushes, gaining +5 circumstance bonus to Ref Def to avoid hazard.","Perception (DC14): Char locates part of bushes that are less densely packed w/ thorns, gaining +2 circumstance bonus to Ref Def against hazard.","Stealth (DC19): Char minimizes their contact w/ thorns while moving through bushes. As char moves, their speed is reduced by 1/2 and char takes 1/2 dmg from successful atk by thorns (no dmg from miss)."
D3,21,Tibanna Gas,Atmospheric; Energy,,,,+10,Fort,2d6/4d6 (/energy),,"Occurs when target enters gas; gas cloud can be dissipated by firing a blaster bolt into it, causing it to burn up and cause energy dmg to any creature in or adjacent to gas",,,
CR,253,Toxic Atmosphere,Atmospheric,,6,,+5,Fort,"1d6, -1 persistent (1/2, no CT move)",Each rnd exposed,Occurs each rnd exposed,,,
D6,32,Toxic Atmosphere,Atmospheric,,,,+7,Fort,"1d8, -1 persistent (1/2, no CT move)",Each rnd exposed,"Occurs each rnd exposed; if target has self-contained air supply (e.g. breath mask), suffer no ill effects; fully enclosed speeders don't have sufficient filters to block out atmosphere, but shutting vents cuts atks to every other rnd",,,
L,204,Tranquilizer drops,Poison; Ingested,,,,+5,Fort,-1 CT,Each rnd,Ingested; occurs each rnd until cured w/ DC20 Treat Injury check,,,
GW,164,Trap Door,Station; Artificial,Indoor/Urban,,,Special,,Special,,"Medium Perception check to notice. Creature moving onto active trap door must make moderate Climb check to catch themselves or fall to another location (usually a holding cell or secure location; or incinerator, garbage smasher or airlock). Climbing back up to the hatch requries moderate Climb check to scale the smooth inner walls of chute. Most trap doors activate automatically, but some are triggered by commands issued at computer terminals in security control rooms.",,,
CR,254,Trash Compactor,Crushing; Artificial,Indoor/Urban,10,,Autohit,,10d6,Every rnd for 5 rnds,"Take 10 rnds to close; once closed auto dmgs every rnd; after 5 rnds, walls retract, taking 10 rnds to open fully",,,
UR,104,Trash Compactor,Artificial,Indoor/Urban,10,"Creature, droid, or object begins its turn inside a trash compactor that has closed completely",Auto,,10d6,On trigger,"A trash compactor takes 10 rnds to close, remains closed for 5 rnds, and takes 10 rnds to open fully once more.",,,
GW,163,Trauger Gas,Gas; Artificial,,14,,+16,Fort,"5d6, -1 CT (1/2)",Each rnd exposed,Gas fills 20x20 meter room in 3 rnds,,,
GI,65,Trihexalon,Poison; Contact,,15,,+20,Fort,"10d6, -2 CT (; 1/2, -1 CT)",Each rnd,Atks each rnd until cured w/ successful DC30 Treat Injury check; creature that takes full dmg from trihexalon loses limb in contact w/ poison (roll randomly if contact is not otherwise determined),,,
D2,29,Trihexalon Poison,Poison; Contact,,,,+5,Fort,2d6 (1/2),Each rnd,Can be made to react (or fail to react) w/ certain biochemical compositions; contact poison (target must be dmged by wpn to which its applied); atks each rnd until cured w/ DC15 Treat Injury check,,,
UR,104,"Turret, Blaster",Artificial; Energy,,2,Turret detects creature or droid w/in its LOS,+4,Ref,3d6 (energy;),"Each rnd, on initiative (Init +5)",,"Stealth: Char makes Stealth check opposed by the turret's Perception check (+5, darkvision).  If char's check is successful, char isn't noticed by turret.",,
UR,104,"Turret, Blaster Rifle",Area; Artificial; Energy,,3,Turret detects creature or droid w/in its LOS; targets all creatures in a 2x2 sq area,+5 area,Ref,3d8 (energy; 1/2 dmg),"Each rnd, on initiative (Init +5)",,"Stealth: Char makes Stealth check opposed by the turret's Perception check (+5, darkvision).  If char's check is successful, char isn't noticed by turret.",,
UR,119,Underground Rapids,Natural,Subterranean,7,Creature begins its turn in path of underground river,+9,Ref,2d6+1 and target moves -1 step on CT,"Each rnd at start of target's turn, as long as target is w/in area occupied by rapids",,"Acrobatics (DC27): Char tumbles across rocks to avoid the water, gaining +2 circumstance bonus to Ref Def against rapids.","Jump (DC27): Char leaps from rock to rock to avoid the water, gaining +2 circumstance bonus to Ref Def against hazard.","Perception (DC22): Char determines which rocks are least affected by rushing water and offer the most stable footing, gaining +5 circumstance bonus to Ref Def against hazard."
UR,104,Undertow,Natural,Aquatic,4,Creature begins its turn swimming in deep water,+6,Fort,"Target is pulled 6 sq deeper underwater, and is immobilized until the start of its next turn (; target is pulled 3 sq and is not immobilized)",On trigger,"Creature that is pulled underwater by undertow begins to drown (see Endurance, SECR pg. 66).",Swim (DC16): Char can make Swim check as reaction to keep from being affected by undertow.,,
CR,253,Vacuum,Atmospheric,Space,8,,+20,Fort,"1d6, -2 CT (0, -1 CT)",Each rnd exposed,"Occurs each rnd exposed; can't move back up CT until returned to breathable atmosphere; creature knocked unconscious by vacuum auto takes cumulative 1d6 dmg each rnd (1d6, 2d6, 3d6, etc.); if this dmg ever exceeds creature's dmg thresh, it dies",,,
CR,173,Vehicle Collision,Artificial or Natural; Area,,,Vehicle moves into occupied space or vice-versa,,,Based on vehicle size,None,"Avoid collision with Pilot DC 15. See ""Char.Creation & Sizes"" tab in Saga Index for damage",,,
CR,173,Vehicle Collision: Mobile Hazard,Artificial or Natural; Area,,,Hazard moves into vehicle space,Based on hazard size,Ref,Based on vehicle size,None,"Avoid collision with Pilot DC 15. See ""Char.Creation & Sizes"" tab in Saga Index for damage",,,
CR,172,Vehicle Collision: Ramming,Artificial or Natural; Area,,,Vehicle attempts ram,-10 Pilot check,Ref,Based on vehicle size,None,"Cannot avoid collision; deal double damage by using all-out movement. See ""Char.Creation & Sizes"" tab in Saga Index for damage",,,
W,118,Viper Kinrath Poison,Poison; Injury,,,Viper Kinrath sting,+8,Fort,"2d6, -1 CT",,Cured with DC 18 Treat Injury,,,
T,128,Vornskr Poison,Poison; Injury,,,Vornskr tail,+8,Fort,-1 CT; immobilized if moved to bottom of CT,None,,,,
UR,105,Whirlpool,Natural,Aquatic,8,"Creature or droid begins its turn in area of hazard, or pilot of aquatic vehicle starts their turn in area of hazard",+10,Fort,"2d10+3 and target is moved 2 sq in direction of GM's choice (; 1/2 dmg, target is moved 1 sq)",On trigger,Each sq w/in area of whirlpool is considered difficult terrain.,Pilot (DC18): Pilot of aquatic vehicle caught in whirlpool can make check as reaction to avoid whirlpool.,Swim (DC18): Char can make check as reaction to avoid effects of whirlpool.,
GW,164,Wind Tunnels & Exhaust Vents,Station; Artificial,Indoor/Urban,,,Autohit,,10+1/2 station's CL,,"When the fans blow, all creatures in tunnel must make medium Acrobatics check or be knocked prone. Creatures moving against wind move at only 1/2 normal movement rate. Fans deal normal dmg to any creature that comes into contact w/ them.",,,
CR,257,Zero Gravity,Gravity; Artificial or Natural,Space,,,Autohit,,Special,,"Space Sickness: See TUR Space Sickness Hazard; Speed: gains fly speed = base land speed or retains natural fly speed (whichever is greater), movement is limited to straight lines, can change course only by pushing away from larger objects (i.e. bulkheads); Carrying Cap: 10x, gain +10 circumstance bonus on Str check to lift or move hvy, unsecured object; Skill Check Bonus: gain +2 circumstance bonus on Str-based skill checks; Atk Roll Penalty: take -5 penalty on atk rolls and skill checks unless you are native to zero-g environments or have Spacehound talent; Long-Term Exposure: creature that spends 120 hrs or more in zero-g moves -2 persistent steps on CT upon returning to normal gravity, can't be removed unless char spends at least 24 hrs in normal gravity",,,
