BOOK,PAGE,FORCE POWER,Desc.,"Action to activate","Action to maintain",Target,Sq.,LOS,EFFECT,   Dark/Light,   Lightsaber form   ,  Mind-affect.,  Telekinetic,  Unleashed
K,51,"Kinetic Combat 
[telekinetic]","You use the Force to manipulate your chosen weapon, allowing it to operate independent of your grasp. Time: Standard action. Target: You.

Make a Use the Force check. If you succeed on a DC 20 check, you can telekinetically move a one-handed melee weapon you hold up to 12 squares and make an attack with it. The weapon is considered held by you, even if it is hovering nearby and not in your hands. The attack uses your base attack bonus modified by your Charisma modifier as the attack bonus for the attack. A successful attack deals normal melee weapon damage, adding one-half your heroic level to the damage as normal and substituting your Charisma modifier for your Strength modifier for damage. Talents and feats that would normally enhance a weapon's use do not do so while you are using kinetic combat to wield the weapon (for example, you cannot use Mighty Swing or Power Attack while wielding the weapon). The weapon threatens all squares adjacent to it, and it can be used to make an attack of opportunity if a target provokes one from the weapon. Any attacks of opportunity made by the weapon count as thought they were made by you.

Special: you can maintain kinetic combat from round to round, extending the normal duration. Maintaining the kinetic combat power is a swift action, and as a standard action each round you maintain it you can direct the weapon to move up to 6 squares and make a single attack against a target adjacent to the weapon, though the weapon must remain within 12 squares of you or the power's effect ends. If you suffer damage while maintaining kinetic combat, you must succeed on a Use the Force check (DC = 15 + damage taken) to continue maintaining the power.

You can spend a Force Point to gain a +1 bonus on attack rolls with a weapon wielded using kinetic combat.

[[Personal note: Attacking the floating lightsaber with “Attack an Object” would be Ref 10 + size mod (2 for medium lightsaber considered tiny) + Ref of holder (not counting armor or natural armor bonuses). You can also use Disarm perhaps. Most feats and talents that affect attack or damage will not work, except perhaps Combat Reflexes. I don't think it's overpowered to allow Force powers to enhance Kinetic Combat.]]
",stan,"swif/
stan",you,12,,"DC20 to attack with one-handed melee weapon, Atk use Cha mod not Str, threatens adjacent
spend a Force Point for +1 Atk",,,,x,
C,50,"Levitate 
[telekinetic]","You can float up or down without anything or anyone to assist you. Time: Move action. Target: You.

Make a Use the Force check. The result of the check determines the effect, if any :

DC 15 : You gain a fly speed of 2 squares but can only move vertically. You may move up to your fly speed as part of this action, and if you end this movement adjacent to a horizontal surface, you can move 1 square onto that surface as a free action. At the start of your next turn, if you are not standing or holding onto a solid surface, you fall to the ground.

DC 20 : As DC 15, except the fly speed increases to 4 squares.

DC 25 : As DC 15, except the fly speed increases to 6 squares.

Special : You can spend a Force Point as a reaction to activate this power when falling. You can reduce your fall distance by a number of squares equal to the fly speed provided by this power. If you reduce the fall distance to 0 squares, you land safely on your feet.

You can maintain the Levitate power from round to round, extending the normal duration. Maintaining  Levitate is a Move action, and whenever you maintain this power you can move vertically up to your fly speed. If you take damage while maintaining Levitate, you must succeed on a Use the Force check (DC 15 + damage taken) to continue maintaining the power. If you fail this Use the Force check, you immediately fall.

",move,move,you,,,"DC15: fly 2, vertical only, can move 1 sq onto horizontal surface or fall
DC20: fly 4, vertical only, can move 1 sq onto horizontal surface or fall
DC25: fly 6, vertical only, can move 1 sq onto horizontal surface or fall
spend Force Point as reac when falling to reduce falling by fly speed",,,,x,
L,54,"Lightning Burst 
[dark side]","You call upon the dark side to cause lightning to arc out from your body, striking adjacent enemies. Time: Standard action. Targets: All enemies adjacent to you.

Make a Use the Force check. Compare the result to each target's Reflex Defense. If the attack hits, the target takes 3d6 points of Force damage and moves -1 step along the condition track. If the attack misses, the target takes half damage and does not move along the condition track.

Special: You may spend a Force Point when you activate this power to increase the damage dealt by +2d6. You can maintain the lightning burst power as a standard action, provided you haven't moved since activating the power. When you maintain the power, make a new Use the Force check and compare the result to the Reflex Defense of each target in range (as described above).

",stan,stan*,all,adjacent,,"v. Ref Def for 3d8 dam & -1 CT, half damage on miss                                                                                  
spend a Force Point +2d6 damage",D,,,,
J,32,"Makashi Riposte 
[lightsaber form]","You are trained in a Makashi technique that allows you to slightly change the angle of an opponent's attack before striking a decisive riposte of your own. Time: Reaction (when an adjacent opponent makes a melee attack against you). Target: You plus one enemy within your reach. 

Make a Use the Force check. Compare the result of your Use the Force check against the attack roll of the incoming attack. If your Use the Force check equals or exceeds the incoming attack roll, the attack deals half damage on a hit. Additionally, you can make a single melee attack with a lightsaber against your target after the damage is resolved. You deal half damage to the target on a miss. 

Lightsaber Form (Makashi): If you have the Makashi talent, until the end of your next turn the target provokes an attack of opportunity from you if it makes an attack and is within your reach. 

Special: You can spend a Force Point to take no damage from the incoming attack if your skill check equals or exceeds the attack roll of the incoming attack. 

",reac,,you,,,"Use the Force v. melee atk roll for half dam & make single atk against target after dam & deal half dam on miss
Lightsaber form (Makashi): until end of your next turn target provokes atk of opp if it attacks & in reach
spend a Force Point for no dam from incoming atk",,x,,,
C,51,"Malacia 
[light side]","You create dizziness and nausea by disrupting your enemy's equilibrium. Time: Standard action. Target: One living creature within 6 squares of you and line of sight. Make a Use the Force check. Compare the result to your target's Fortitude defense. If your check equals or exceeds the target's Fortitude defense, the target moves -1 step down the condition track. Additionally, until the end of its next turn, the target takes a -5 penalty to its damage threshold.

Special : You can spend a Force Point to increase the penalty to damage threshold to -10.

You can maintain the Malacia power from round to round, extending the duration of the damage threshold penalty. Maintaining the Malacia power is a Standard action, and you must make a new Use the Force check each round. If you take damage while maintaining Malacia, you must succeed on a Use the Force check (DC 15 + damage taken) to continue concentrating.

",stan,stan*,1,6,Y,"Use the Force v. Fort Def target moves -1 CT & -5 threshold
spend Force Point to increase threshold penalty to -10",L,,,,
J,27,"Memory Walk 
[dark side, mind-affecting]","You torment an enemy by causing him to relive his most horrible memories. Time: Standard action. Target: One creature with an Intelligence of 3 or higher within 6 squares of you and in your line of sight. 

Make a Use the Force check. The result of the check determines the effect, if any. 

DC 20: Compare the result to the target's Will Defense. If the skill check equals or exceeds the target's Will Defense, the target takes 2d6 points of Force damage and loses its swift action on its next turn. 

DC 25: As DC 20, except the target loses its move action on its next turn. 

DC 30: As DC 20, except the target loses its standard action on its next turn. 

DC 35: As DC 20, except the target loses its standard action and its swift action on its next turn. 

Special: You can spend a Force Point to increase the damage by +2d6. You can maintain memory walk from round to round, extending the normal duration. Maintaining the memory walk power is a standard action, and you must make a new Use the Force check each round. If you take damage while maintaining memory walk, you must succeed on a Use the Force check (DC = 15 + damage taken) to continue maintaining the power.
",stan,stan*,1,6,Y,"DC20: 1 creature with Int 3+, Use the Force v. Will Def for 2d6 dam & loses swif on next turn
DC25: 1 creature with Int 3+, Use the Force v. Will Def for 2d6 dam & loses move on next turn
DC30: 1 creature with Int 3+, Use the Force v. Will Def for 2d6 dam & loses stan on next turn
DC35: 1 creature with Int 3+, Use the Force v. Will Def for 2d6 dam & loses stan & swif on next turn
spend a Force Point for +2d6 dam",D,,x,,
J,28,"Mind Shard 
[mind-affecting]","You use the Force to splinter the mind of an opponent, wracking it with pain. Time: Standard action. Target: One creature within 12 squares of you and in your line of sight. 

Make a Use the Force check. The result of the check determines the effect, if any. 

DC 15: Compare the result to the target's Will Defense. If the skill check equals or exceeds the target's Will Defense, the target takes 2d8 points of Force damage and moves -1 step down the condition track. Furthermore, the target cannot improve its condition until the end of your next turn (although other creatures may use abilities to improve its condition). 

DC 20: As DC 15, except the damage increases to 3d8. 

DC 25: As DC 15, except the damage increases to 4d8. 

DC 30: As DC 15, except the damage increases to 5d8. 

Special: You can spend a Force Point to increase the damage by +2d8.
",stan,,1,12,Y,"DC15: Use the Force v. Will Def for 2d8 dam & -1 CT & can't improve until end of your next turn
DC20: Use the Force v. Will Def for 3d8 dam & -1 CT & can't improve until end of your next turn
DC25: Use the Force v. Will Def for 4d8 dam & -1 CT & can't improve until end of your next turn
DC30: Use the Force v. Will Def for 5d8 dam & -1 CT & can't improve until end of your next turn
spend a Force Point for +2d8 dam",,,x,,
CR,98,"Mind Trick 
[mind-affecting]","You use the Force to alter a target’s perceptions or plant a suggestion in its mind. Time: Standard action. Target: One Intelligence 3 or higher creature in line of sight and within 12 squares of you.

Make a Use the Force check. If you equal or exceed the target’s Will Defense, you may choose one of the following effects:

—You create a fleeting hallucination that distracts the target and enables you to use the Stealth skill even if the target is aware of you.

—You perform a feint so that the next attack you make against the target ignores its Dexterity bonus to Reflex Defense (if any).

—You make an otherwise unpalatable suggestion seem completely reasonable to the target. You must be able to communicate with the target, and the suggestion can’t obviously threaten the target’s life. The target won’t realize later that what he did is unacceptable. Official Clarification: Mind Trick makes an unpalatable suggestion seem reasonable -- it does NOT mean that the person will automatically do what you want. A Persuasion check may still be called for if even the reasonable suggestion seems like something the target may not do. Mind Tricking the stormtrooper leader into thinking you are an ally may work, depending on the situation. In the middle of a firefight, it might distract him for one round, but then he's going to realize that his buddies are shooting at you and figure it out pretty quick.

—You fill the target with terror, causing it to flee from you at top speed for 1 minute. The affected creature stops fleeing if it is wounded. The effect is negated if the target’s level is equal to or higher than your character level. This is a fear effect.

Special: If you are making a suggestion, you may spend a Force Point to improve the target’s attitude by one step, plus one additional step for every 5 points by which your Use the Force check exceeds the target’s Will Defense.
",stan,,1,12,Y,"Use the Force v. Will Def to either
1. create an hallucination to use Stealth even if aware
2. perform a feint so that target loses Ref to Def next attack 
3. make an unpalatable suggestion
4. fill target with terror to flee at top speed 1 minute, stops fleeing if wounded, not if higher level
spend a Force Point to improve attitude one step + one step per 5 over check",,,x,,
C,51,Morichro,"You slow the vital functions of a target, casing her to slip into a deep sleep or even die. Time: Standard action. Target: One living creature you have grabbed or grappled. Make a Use the Force check. Compare the result to the target's Fortitude defense. If your Use the Force check exceeds the target' s Fortitude defense, the target moves -1 step down the condition track. Each round you maintain this power, if your Use the Force check exceeds the target's Fortitude defense, the target moves another step down the condition track. If you move the target to the bottom of the condition track with this power, you can choose to kill the target or place it into a Force trance even if it is unwilling (see page 28 of the CWCG). Additionally, if you use this power on an already unconscious target, you can consider the target willing for the purposes of placing them in a Force trance.

Special : You can maintain the Morichro power from round to round, extending the normal duration.  Maintaining this power is a Standard action, and you must make a new Use the Force check each round. If you take damage while maintaining Morichro, you must succeed on a Use the Force check (DC 15 + damage

taken) to maintain the power. If the target escapes your grab or the grab ends for any reason, you cannot maintain this power on your next turn.

[[House rule: You can spend a FP to move the target an additional -1 CT on successful use of this power.]]
",stan,stan*,1,,,"grab or grapple, Use the Force v. Fort Def target moves -1 CT, if at bottom kill or trance",,,,,
CR,98,Move Object,"You telekinetically move a target up to 6 squares in any direction using the Force. Time: Standard action. Target: One character or object within 12 squares and within your line of sight.

Make a Use the Force check. The result of the check determines the maximum size of the target you can lift (see below). If the target is a creature that resists your attempt, your Use the Force check must also exceed the target’s Will Defense. You can hurl the target at (or drop it on) another target in range if your Use the Force check exceeds the second target’s Reflex Defense. Both targets take damage determined by your Use the Force check result.

DC 15: Move object up to Medium size (deals 2d6 points of damage)

DC 20: Move object up to Large size (deals 4d6 points of damage)

DC 25: Move object up to Huge size (deals 6d6 points of damage)

DC 30: Move object up to Gargantuan size (deals 8d6 points of damage)

DC 35: Move object up to Colossal size (deals 10d6 points of damage) 

Special: You may maintain your concentration on the targeted object to continue to move it from round to round. Maintaining the move object power is a standard action, and you must make a new Use the Force check each round. If you suffer damage while maintaining move object, you must succeed on a Use the Force check (DC = 15 + damage taken) to continue concentrating. If you deal damage with the move object power, you cease to be able to maintain it.

If you use move object against a hovering or flying target (such as a speeder or starship), the target can oppose your Use the Force check with a grapple check as a reaction. If the target wins the opposed check, you are unable to move the target.

You may spend a Force Point to increase the maximum size of the object by one category and deal an additional 2d6 points of damage (maximum size Colossal [frigate], 12d6 damage). Alternatively, you may spend a Destiny Point (see page 112) to increase the maximum size of the object by three categories and deal an additional 6d6 points of damage (maximum size Colossal [station], 16d6 damage). 

Official clarification: You cannot use the Move Object to ""fly"" yourself around. You need Force Flight for that. You also cannot fly by holding on to an object targeted by the Move Object power. The buddy system doesn't work either. A friend may use Move Object to lift you off the ground, but he cannot do so if he is being flown via Move Object himself by another (such as by you).

[[House rule for forcing open doors: Your Move Object check must beat the Break DC of the door (see Core page 151). This means you still need to beat a high DC of 45 to open a blast door.]]

Unleashed: When you hurl one object or character into another object or character and you spend a Destiny Point, multiply the damage dealt by 2.

[[Anti-pinata house rule: “If a target within a Move Object is attacked or otherwise damaged or moved down the condition track by you or one of your allies, the effects of Move Object end immediately.”]]

",stan,stan*,1,12,Y,"Use the Force v. Will if object resists, hurl or drop object v. target's Ref Def, both take damage
DC15: Move up to medium object, 2d6 damage
DC20: Move up to large object, 4d6 damage
DC25: Move up to huge object, 6d6 damage
DC30: Move up to gargantuan object, 8d6 damage
DC35: Move up to colossal object, 10d6 damage
moving or hovering target opposes Use the Force with a grapple check
spend a Force Point to increase max size of object one category and +2d6 dam (max 12d6)
spend a Destiny Point to increase max size three categories and +6d6 dam (max 16d6)
Unleashed: if you hurl an object into another object multiply damage by 2",,,,x,x
CR,99,Negate Energy,"You spontaneously negate a single attack that deals energy weapon damage, such as a lightsaber or blaster. Time: Reaction. Target: One attack made against you that deals energy weapon damage. Official Clarification: Does not work against Force powers.

Make a Use the Force check. If the result of the check equals or exceeds the damage dealt by the energy weapon, the attack is negated and you take no damage. If your check result is less than the amount of damage dealt, you fail to negate the attack and take damage as normal.

Special: You must be aware of the attack (and not flat-footed) to negate it. If you are successful, you can spend a Force Point to regain hit points equal to the damage of the negated attack, up to a maximum of your full normal hit points.

Official Clarification: You cannot use the Negate Energy power against the Force Lightning power. Negate Energy specifies it negates ""weapon energy damage."" Force Lightning is a Force power, not a weapon. Thus, no you cannot use Negate Energy against a Force Lightning attack.

[[Personal note: The DC to negate stun damage is the full stun damage before halving. Also, from a game balance perspective, it would be better for the DC to negate stun damage be the full number rolled before halving. This takes into account that stun damage is terrible in Saga.]]

",reac,,1,,,"Use the Force v. damage, failure takes damage as normal, must be aware of attack
spend a Force Point to regain hit points = to damage",,,,,
L,54,"Obscure 
[mind-affecting]","You use the Force to cloud an enemy's mind, making it harder for the enemy to see its target. Time: Reaction. Target: One enemy within 12 squares of you and in your line of sight that just made an attack roll.

Make a Use the Force check. Compare the result to the target's Will Defense. If the check result equals or exceeds the target's Will Defense, the target takes a -5 penalty on the attack roll. If the target misses with the attack, you can choose to make the target reroll the attack against another creature adjacent to it; this attack is also at a -5 penalty.

Special: You may spend a Force point when you activate this power to apply the penalty to all the target's attack rolls made until the start of its next turn.
",reac,,1,12,Y,"v. Will Def for -5 atk, if target misses you can make them reroll against an adjacent creature also at -5              
spend Force Point to apply -5 to all attacks they make until the start of its turn",,,x,,
J,32,"Pass the Blade 
[lightsaber form]","You deactivate your lightsaber as your opponent attempts to block it, reactivating it just after it passes by his blade. Time: Standard action. Target: You plus one enemy within your reach. 

Make a Use the Force check. The result of the check determines the result, if any. 

DC 15: You make a single melee attack with a lightsaber against the target. Your opponent takes a -2 penalty on Use the Force checks made to block the attack, as per the Block talent. (This penalty also applies to the Primitive Block talent in The Force Unleashed Campaign Guide.) 

DC 20: As DC 15, except the target takes a -5 penalty on its Use the Force check. 

DC 25: As DC 15, except the target takes a -10 penalty on its Use the Force check. 

DC 30: As DC 15, except the target cannot use the Block talent to negate the attack. 

Lightsaber Form (Trakata): If you have the Tràkata talent, you also ignore any deflection bonus the target has from the Lightsaber Defense talent. 

Special: You can spend a Force Point to deal +2d6 points of damage with your lightsaber attack if it hits. 
",stan,,you,,,"DC15: make single atk, target is -2 to Block
DC20: make single atk, target is -5 to Block
DC25: make single atk, target is -10 to Block
DC30: make single atk, target cannot Block
Lightsaber form (Trakata): ignore deflection bonus from Lightsaber Defense
spend a Force Point for +2d6 dam",,x,,,
C,51,Phase,"You can pass through solid objects, such as walls and doors. Time: Move action. Target: You. Make a Use the Force check. The result of the check determines the effect, if any :

DC 25 : You gain a phasing speed of 2 squares; your phasing speed can never exceed your own base speed. When moving using your phasing speed, you can move through the spaces of your enemies, as well as through walls, vehicles, large objects, and other obstructions but must end your movement in a legal, unoccupied space. You retain this phasing speed until the beginning of your next turn. You may move up to your phasing speed as a part of the activation of this power.

DC 30 : As DC 25, except your phasing speed is 4 squares.

DC 35 : As DC 25, except your phasing speed is 6 squares.

DC 40 : As DC 25, except your phasing speed is 8 squares.

Special : You can spend a Force Point to increase your phasing speed by 2 squares.

You can maintain the Phase power from round to round, extending the normal duration. Maintaining this power is a move action, and whenever you maintain the Phase power you can move up to your phasing speed. If you take damage while maintaining this power, you must succeed on a Use the Force check (DC 15 + damage taken) to maintain the power.
",move,,you,,,"DC25: phase speed 2 but not over own speed, must end move in unoccupied square
DC30: phase speed 4 but not over own speed, must end move in unoccupied square
DC35: phase speed 6 but not over own speed, must end move in unoccupied square
DC40: phase speed 8 but not over own speed, must end move in unoccupied square
spend a Force Point to increase speed 2 squares",,,,,
J,28,Plant Surge,"You reach out with the Force to entreat the aid of plants, causing them to lash out at your enemy. Time: Standard action. Target: One creature within 12 squares of you and in your line of sight. 

Make a Use the Force check. Compare the result of the Use the Force check to the Fortitude Defense of the target. If the skill check equals or exceeds the target's Fortitude Defense, the target's speed is 0 until the end of your next turn. A creature can escape (restoring its normal speed) by making a grapple check as a standard action, opposed by your Use the Force check. 

Special: There must be one or more plants adjacent to the target, or else the power fails automatically. You can spend a Force Point to impose a -10 penalty to the target's grapple checks made to escape the plant surge. You can maintain plant surge from round to round, extending the normal duration. Maintaining the plant surge power is a swift action, and you must make a new Use the Force check each round. If you take damage while maintaining plant surge, you must succeed on a Use the Force check (DC = 15 + damage taken) to continue maintaining the power.

",stan,swif*,1,12,Y,"Use the Force v. Fort Def for speed to 0 until end of your next turn or escape w/a stan grapple v. UtF
spend a Force Point to impose -10 on grapple checks to escape, must have adjacent plants nearby",,,,,
L,54,Prescience,"The Force grants you a flash of insight in dealing with your enemies. Time: Swift action. Target: One enemy within your line of sight. 

Make a Use the Force check. The result of the check determines the effect, if any:

DC 15: Until the end of your next turn, you gain a +1 insight bonus to all defense against attacks or effects originating from the target, as well as a +1 insight bonus on attack rolls made against the target.

DC 20: As DC 15, except the insight bonuses increase to +2.

DC 25: As DC 15, except the insight bonuses increase to +3.

Special: You may spend a Force Point when you activate this power to affect one additional enemy in your line of sight.
",swif,,1,,Y,"DC15: +1 all Def v. attacks from target & +1 atk v. target until the end of your next turn
DC20: +2 all Def v. attacks from target & +1 atk v. target until the end of your next turn
DC25: +3 all Def v. attacks from target & +1 atk v. target until the end of your next turn
spend a Force Point to affect one additional enemy in LOS",,,,,
J,33,"Pushing Slash 
[lightsaber form, telekinetic]","You strike at your target with your lightsaber, then hurl him away from you with the Force. Time: Standard action. Target: One enemy within your reach. 

Make a Use the Force check. The result of the check determines the result, if any. 

DC 15: You make a single melee attack with a lightsaber against the target. If the attack hits, in addition to dealing damage, compare the result of your Use the Force check to the target's Fortitude Defense. If your Use the Force check equals or exceeds the target's Fortitude Defense, you push the target 2 squares away from you. This movement does not provoke attacks of opportunity. You cannot move the target if it is grabbed or grappled. 

DC 20: As DC 15, except you push the target 3 squares away from you. 

DC 25: As DC 15, except you push the target 4 squares away from you. 

DC 30: As DC 15, except you push the target 5 squares away from you. 

Lightsaber Form (Niman): If you have the Niman talent, you also compare the result of your Use the Force check to all other adjacent enemies; if your Use the Force check equals or exceeds an enemy's Fortitude Defense, it is pushed 1 square away from you. This is an area effect. 

Special: You can spend a Force Point to knock the target prone at the end of its forced movement. (This applies only to the target of your lightsaber attack.) 

Note: Unlike other lightsaber form powers, this power can be Rebuked
",stan,,1,,,"DC15: dam & Use the Force v. Fort Def to push target 2 sq, no atk of opp & not if grabbed/grappled
DC20: dam & Use the Force v. Fort Def to push target 3 sq, no atk of opp & not if grabbed/grappled
DC25: dam & Use the Force v. Fort Def to push target 4 sq, no atk of opp & not if grabbed/grappled
DC30: dam & Use the Force v. Fort Def to push target 5 sq, no atk of opp & not if grabbed/grappled
Lightsaber form (Niman): also compare to all adjacent enemies & push 1 sq
spend a Force Point to knock prone the target of your lightsaber atk only at end of their forced move",,x,,x,
CR,100,Rebuke,"You harmlessly absorb or deflect one Force power used against you, perhaps even turning it against its creator. Time: Reaction. Target: One Force power directed at you Official Clarification: (does not work against Force talents).

Make a Use the Force check. If your result equals or exceeds the check result of the power directed at you, you harmlessly redirect it and suffer no ill effects. If your result exceeds the check result of the power directed at you by 5 or more, you may choose to turn the Force power against its creator, who suffers the effect based on the creator’s original Use the Force check. [[Personal note: You can't maintain a rebuked power. As you are not making the Use the Force check, I don't think you can maintain it either. Also the Rebuke power say nothing about maintaining anything. ]]
Special: If you successfully reflect a Force power back at its originator, the originator may attempt to rebuke the power as well, expending a use of the rebuke power and using your rebuke Use the Force check result as its target DC. If he reflects it back again, both you and the originator are affected by the Force power.

You can spend a Force Point as a reaction to suffer no ill effects from a Force power that has been rebuked twice—once by you and once by the power’s originator.

",reac,,1,,,"Use the Force v. check of power & no effect, beat by 5 and redirect against creator
if creator rebukes, both suffer, spend a Force Point for no effect on 2nd rebuke",,,,,
C,52,"Rend 
[dark side]","You can move a single target, whether it is a creature or object, in two different directions simultaneously.

Time: Standard action. Target: One target within 6 squares and line of sight. Make a Use the Force check. Compare the result with the target's Reflex defense. If the check equals or exceeds the target's Reflex defense, the target takes 3d6 damage. If your Use the Force check is a natural 20, you score the equivalent of

a critical hit, and the target takes double damage. If you deal enough damage to reduce the target to 0 hit points, you rip the target into two separate parts (living creatures are automatically killed).

Special : If your Use the Force check succeeds, you can spend a Force Point to deal an additional 2d6 points of damage to the target.
",stan,,1,6,Y,"Use the Force v. Ref Def or 3d6 dam, nat 20 is a crit, if reduce to 0 hp can rip in half
spend a Force Point for +2d6 dam",D,,,,
F,87,"Repulse 
[telekinetic]","You use the Force to clear an area around yourself. Time: Standard action. Target: All adjacent targets.

Make a Use the Force check: The targets make Strength checks, adding their base attack bonus. If you beat the target's Strength check, you push it back 1 square plus 1 additional square for every 5 points by which you exceed the target's Strength check result. If you push the target into a larger object, the target takes 1d6 points of damage.

The target adds a size modifier to its Strength check: Colossal, +50; Gargantuan, +20; Huge, +10; Large, +5; Medium, +0; Small, -5; Tiny, -10; Diminutive, -15; Fine, -20. In addition, it gets a +5 stability bonus if it has more than 2 legs or is otherwise exceptionally stable.

Special: You can spend a Force Point to apply a -5 penalty to the target's Strength check to resist your repulse. Additionally, after spending a Force Point, if you successfully push the target into a larger object, you deal an extra 2d6 points of damage from the extreme force of the thrust.

Unleashed: When you use the repulse power and you spend a Destiny Point, opponents affected by the power do not add their size modifier to their Strength checks to resist the power's effect. A creature that would normally have a penalty on its Strength check due to size still retains that penalty.

Additionally, the distance you move the target is multiplied by 2. If you push the target into a larger object, the target takes 1d6 points of damage per square moved by this power.

",stan,,all,adjacent,,"targets make Str checks + BAB, if over push 1 sq + 1sq for every 5 over, into larger object 1d6 dam
spend a Force Point to apply -5 to opponent's check, pushed into larger object = 2d6 dam
Unleashed: opponents do not add size modifier, distance moved multiplied by2, damage 1d6 per square moved",,,,x,x
K,51,Resist Force,"You use the Force to protect yourself from an enemy's Force powers. Time: Standard action. Target: You.

Make a Use the Force check. The result of the check determines the effect, if any.

DC 15: You gain a +1 to the Defense score of your choice against Force powers used against you until the beginning of your next turn.

DC 20: As DC 15, except the Defense bonus increases to +2.

DC 25: As DC 15, except the Defense bonus increases to +5.

Special: You can spend a Force Point to apply the bonus provided by this power to any two Defense scores of your choice.

You can maintain resist Force from round to round, extending the normal duration. Maintaining resist Force is a swift action. If you suffer damage while maintaining resist Force, you must succeed on a Use the Force check (DC = 15 + damage taken) to continue maintaining the power. You may have multiple instances of resist Force active at once, but maintaining each one requires a swift action each round, and each one must be activated by a separate use of resist Force.

• Increasing REF will protect against 3 powers: Force Blast, Force Disarm, Force Lightning (D,H).
• Increasing FORT protects against 8 powers: Corruption (D), Force Grip (H,M,T), Force Slam (H,T), Force Stun, Force Scream (D), Force Whirlwind (M,T), Slow (T), Wound (D)
• Increasing WILL protects against 4 powers: Mind Trick (A), Move Object (M,T), Sever Force (L), Fear (A,D) 
",stan,swif,you,,,"DC15: +1 one Def v. Force until your next turn
DC20: +2 one Def v. Force until your next turn
DC25: +5 one Def v. Force until your next turn
spend a Force Point for two Def",,,,,
J,33,"Rising Whirlwind 
[lightsaber form]","You swing your lightsabers around your body, creating a brilliant whirlwind of deadly light. Time: Standard action. Targets: Two enemies within your reach. 

Make a Use the Force check. The result of the check determines the result, if any. 

DC 15: You can make two lightsaber melee attacks, each one against a different target. If both attacks hit, you gain 10 bonus hit points. Damage is subtracted from bonus hit points first, and any remaining bonus hit points disappear at the end of the encounter. 

DC 20: As DC 15, except you gain 15 bonus hit points. 

DC 25: As DC 15, except you gain 20 bonus hit points. 

DC 30: As DC 15, except you gain 25 bonus hit points. 

Lightsaber Form (Jar'Kai): If you have the Jar'Kai talent, you can move up to 2 squares between the two attacks. This movement does not provoke attacks of opportunity. 

Special: You must be wielding two lightsabers to use this power. You can spend a Force Point to deal +1d6 damage to each target you hit. 
",stan,,2,,,"Must be wielding 2 lightsabers!
DC15: make 2 attacks v. different opp & if they both hit you gain 10 hp
DC20: make 2 attacks v. different opp & if they both hit you gain 15 hp
DC25: make 2 attacks v. different opp & if they both hit you gain 20 hp
DC30: make 2 attacks v. different opp & if they both hit you gain 25 hp
Lightsaber form (Jar'Kai): can move 2 sq between attacks & does not provoke atk of opp
spend a Force Point for +1d6 dam ",,x,,,
J,34,"Saber Swarm 
[lightsaber form]","You slash at your opponent rapidly, aiming many short strikes at the targets body. Time: Standard action. Target: One enemy within your reach. 

Make a Use the Force check. The result of the check determines the result, if any. 

DC 20: You make two lightsaber melee attacks against a single target. Each of these attacks is made at a -5 penalty. 

DC 25: As DC 20, except the attacks are made at a -2 penalty. 

DC 30: As DC 20, except the attacks are made at a -1 penalty. 

DC 35: As DC 20, except the attacks suffer no penalty. 

Lightsaber Form (Ataru): If you have the Ataru talent, your opponent takes a -5 penalty on all Use the Force checks made to block your attacks using the Block talent or the Makashi Riposte power (see page 32). 

Special: You can spend a Force Point to move up to 2 squares before or after you use this power. This movement does not provoke attacks of opportunity. 
",stan,,1,,,"DC20: make two lightsaber attacks v. single target at -5 each
DC25: make two lightsaber attacks v. single target at -2 each
DC30: make two lightsaber attacks v. single target at -1 each
DC35: make two lightsaber attacks v. single target at no penalty
Lightsaber form (Ataru): opponent takes -5 to Block or Makashi riposte
spend a Force Point to move 2 sq before or after you use the power, no atk of opp",,x,,,
J,34,"Sarlacc Sweep 
[lightsaber form]","You lash out at multiple enemies, striking them with a sweeping motion. Time: Standard action. Targets: One enemy within your reach (the primary target) plus one other enemy within your reach (the secondary target). 

Make a Use the Force check. The result of the check determines the result, if any. 

DC 15: You can make a single melee attack with a lightsaber against the primary target. The attack deals normal damage to the primary target and 5 points of damage to the secondary target if the attack hits. 

DC 20: As DC 15, except increase the damage to the secondary target by +1d6 points. 

DC 25: As DC 15, except increase the damage to the secondary target by +2d6 points. 

DC 30: As DC 15, except increase the damage to the secondary target by +3d6 points. 

Lightsaber Form (Shii-Cho): If you have the Shii-Cho talent, you can use this power in the place of a melee attack roll at the end of a charge. You gain the benefits of the Powerful Charge feat on the initial lightsaber attack only if you use this power in this way. 

Special: You can spend a Force Point to affect two secondary targets, provided both enemies are within your reach and adjacent to the primary target of your lightsaber attack. 
",stan,,2,,,"DC15: single attack against primary target & deals normal dam & half dam to secondary target if atk hits
DC20: single atk against primary target & deals normal dam & half dam +1d6 to secondary target if atk hits
DC25: single atk against primary target & deals normal dam & half dam +2d6 to secondary target if atk hits
DC30: single atk against primary target & deals normal dam & half dam +3d6 to secondary target if atk hits
Lightsaber form (Shii-Cho): can use at end of charge & gain Powerful Charge on initial attack
spend a Force Point to affect 2 secondary targets if within reach & adjacent to primary target",,x,,,
