BOOK,PAGE,FEAT,Desc.,PREREQUISITES,BENEFIT,Jedi,Noble,Scoundrel,Scout,Soldier,TAG
K,34,Logic Upgrade: Tactician,"Once per encounter, you can use the aid another action to grant a single ally a +5 bonus to their next attack roll against an opponent. Normal: Successfully aiding an attack roll grants a +2 bonus to an ally’s next attack roll against an opponent.","Droid, BAB +4","Once per encounter, aid another +5 Atk",,,,,,"[species(droid)], [support], [combat][offensive]"
J,23,Long Haft Strike,"When you use a lightsaber pike or long-handle lightsaber, you can attack with both ends of the weapon, treating it as a double weapon. See the description of the individual weapon for more information on attack with both ends of the weapon. [[A character with the Long Haft Form feat (see page 23) can use the lightsaber pike as a double weapon. If you have this feat, you can attack with both ends of the weapon as a full-round action, but both attack rolls take a -10 penalty; certain feats and talents can reduce these penalties. The non-lightsaber end of the pike deals 1d6 damage. Weak feat option: If you have this feat, you can attack with both ends of the weapon as a full-round action, but both attack rolls take a -2 penalty. The non-lightsaber end of the pike deals 1d6 damage. If you have the Dual Weapon Mastery 1 feat, the penalty is reduced to 0. Reasons: First off, the feat is a character feat. Character feats are rare and precious, especially for jedi, since they need them to take Force Training. That’s also why I don’t really want any prerequisites for the feat. Secondly, as noted, an extra 1d6 damage is not that much, that’s why I made the penalty -2 instead of -5 (or the original -10). It’s not overpowering. It’s pretty balanced.]]",Proficient with weapon used*,can attack with both ends of lightsaber pike or long-handled lightsaber,,,,,,"[melee(armed)], [combat][offensive]"
K,34,Mandalorian Training,"When using the Charging Fire feat, you gain a +2 bonus to a ranged attack made at the end of a charge. As with a normal charge, you take a –2 penalty to your Reflex Defense, but you also gain a +2 morale bonus to your Will Defense until the beginning of your next turn. Normal: You gain no bonus to a ranged attack made at the end of a charge with the Charging Fire feat.","Charging Fire, BAB +4","make ranged +2 Atk at end of charge, -2 to Ref Def, +2 Will Def",,,,,,"[ranged(grenade, fired, thrown)][ranged attack], [charge], [mobility], [offensive], [Will Defense], [combat][defensive], "
UR,27,Maniacal Charge,"When using the charge action, you can make a Persuasion check as a free action to intimidate your target and each enemy you pass within 1 square of. When your check succeeds against an enemy you pass, it cannot make an attack of opportunity against you. When your check succeeds against your target, it loses its Dexterity bonus and is considered flat-footed until the start of your next turn.",,"when charge make Persuasion as free to intimidate each target pass w/in 1 sq, if succeed they can't make AoO v. you, if over v. target loses Dex & flat-footed",,,,x,x,"[charge], [combat][offensive]"
CR,86,Martial Arts I,"Damage dealt by your unarmed attacks increases by one die step: 1d3 becomes 1d4,1d4 becomes 1d6, and 1d6 becomes 1d8. [Natural weapons (claws, bite, etc.) stack with the Martial Arts feats]. In addition, you gain a +1 dodge bonus to your Reflex Defense. Normal: The amount of damage you deal with a successful unarmed attack is based on your size: Small, 1d3; Medium, 1d4; Large, 1d6. Special: A situation that makes you lose your Dexterity bonus to Reflex Defense (if any) also makes you lose dodge bonuses. Also, dodge bonuses stack with each other, unlike most other types of bonuses.",,"+1 Ref Def, increase damage for unarmed attacks by one die step",x,,,,x,"[melee(unarmed)], [combat][offensive]"
CR,86,Martial Arts II,"Damage dealt by your unarmed attacks increases by one die step: 1d4 becomes 1d6,1d6 becomes 1d8, and 1d8 becomes 1d10. In addition, you gain a +1 dodge bonus to your Reflex Defense (which stacks with the dodge bonus granted by the Martial Arts I feat). Normal: The amount of damage you deal with a successful unarmed attack is based on your size: Small, 1d3; Medium, 1d4; Large, 1d6. Special: A situation that makes you lose your Dexterity bonus to Reflex Defense (if any) also makes you lose dodge bonuses. Also, dodge bonuses stack with each other, unlike most other types of bonuses.","BAB +3, Martial Arts I","+1 Ref Def, increase damage for unarmed attacks by one die step",x,,,,x,"[melee(unarmed)], [combat][offensive]"
CR,86,Martial Arts III,"Damage dealt by your unarmed attacks increases by one die step: 1d6 becomes 1d8, 1d8 becomes 1d10, and 1d10 becomes 1d12. In addition, you gain a +1 dodge bonus to your Reflex Defense (which stacks with the dodge bonus granted by the Martial Arts I and Martial Arts II feats). Normal: The amount of damage you deal with a successful unarmed attack is based on your size: Small, 1d3; Medium, 1d4; Large, 1d6. Special: A situation that makes you lose your Dexterity bonus to Reflex Defense (if any) also makes you lose dodge bonuses. Also, dodge bonuses stack with each other, unlike most other types of bonuses. [Dev: Q. What is the damage dealt by a Yuzzem with the Martial Arts III feat? What comes after d12s? A. The damage should probably cap at d12. (The benefit being that the Yuzzem get their a feat earlier than everyone else.)]","BAB +6, Martial Arts I, Martial Arts II","+1 Ref Def, increase damage for unarmed attacks by one die step",x,,,,x,"[melee(unarmed)], [combat][offensive]"
GI,28,Master of Disguise,"You gain a +5 insight bonus to your Deception check when creating a deceptive appearance or a forged document. In addition, you can rush the process by taking a penalty of -2 to the Deception check. Normal: When you rush the creation of a deceptive appearance or forged document, you take a -10 penalty to your Deception check.","trained in Deception, Cha 13","+5 Deception for forging documents or appearance, -2 penalty if rush",,x,x,,,"[charisma], [skill(deception)]"
R,34,Master Tracker,"Whenever you spend a Force Point to add to a Survival check, increase the die type by two steps (from d6 to d10, or from d8 to d12).",Rodian,"when spend Force Point to Survival, increase die type by 2 steps",,,,,,"[species(rodian)], [skill(survival)]"
GI,28,Meat Shield,"Whenever an opponent attacks you while in cover provided by another character, creature, or droid, you are treated as being in cover from attacks by that opponent.","Point Blank Shot, Precise Shot, BAB +4","If opponent uses creature for cover, you gain that cover too from them",,,,x,x,[combat][defensive]
SGD,24,Mechanical Martial Arts,"When you successfully damage an enemy with an unarmed attack, the enemy takes a -5 penalty to all melee attack rolls and damage rolls until the start of your next turn. Special: If you strike an organic enemy while using this feat during an attack of opportunity, the penalty lasts until the start of the enemy's next turn.","Droid, Martial Arts I, BAB +1",when you dam enemy w/unarmed atk enemy -5 melee atk & dam until next turn,,,,,,"[species(droid)], [melee(unarmed)], [combat][offensive]"
GW,29,Medical Team (team feat),"You gain a +3 competence bonus to Treat Injury checks. At the time you make a check, for each ally within 12 squares of you who also has this feat, the competence bonus increases by 1 (to a maximum of +7). Additionally, when you use the aid another action to assist an ally who has this feat with a Treat Injury check to restore hit points, your ally always restores an extra 4 hit points to the target.",Trained in Treat Injury,"+3 Treat Injury & +1 each ally w/feat w/in 12 sq (max +7), aid another to restore hp restores +4 hp",,,,,,"[skill(treat injury)], [team], [support]"
CR,86,Melee Defense,"When you use a standard action to make a melee attack, you can take a penalty of up to -5 on your attack roll and add the same number (up to +5) as a dodge bonus to your Reflex Defense. This number may not exceed your base attack bonus. The changes to attack rolls and Reflex Defense last until the start of your next turn. Normal: A character without the Melee Defense feat can fight defensively while using the attack action to take a -5 penalty on his attack roll and gain a +2 dodge bonus to his Reflex Defense. [You can use fight defensively and the Melee Defense feat together, provided you find a way to gain an extra Standard Action in the round.]",Int 13,trade Atk bonus on melee attacks for dodge bonus Ref Def,x,x,x,,x,"[melee(armed, unarmed)][ok], [combat][defensive][offensive], [intelligence]"
SV,23,Metamorph,"As a full-round action, you can change your mass when you use your shapeshift species trait, increasing or decreasing your size by one step. If you reduce your size to Small, you gain a +1 size bonus to your Reflex Defense and a +5 size bonus on Stealth checks, but your carrying capacity is three-quarters of what it was prior to your use of Metamorph. If you increase your size to Large, you take a -1 size penalty to your Reflex Defense and a -5 size penalty on your Stealth checks. However, your carrying capacity doubles, you gain a +5 size bonus to your Damage Threshold, and your reach increases by 1. You can maintain this form for a number of rounds per day equal to your Constitution score.","Con 13, shapeshift, trained Deception","full round can change mass & change size, number of rounds = Con",,,,,,[species(shapeshifter)]
CR,86,Mighty Swing,"You can spend two swift actions in the same round to deal +1 die of damage on your next melee attack in the same round. The effects of this feat do not stack with the extra damage provided by the Rapid Strike feat. Unleashed: When you use the Mighty Swing feat, you can spend a Destiny Point to gain a +5 bonus on attack rolls and damage rolls, and you can make an automatic trip attack (as with the Trip feat) against the target, also with a +5 bonus on the opposed grapple check.",Str 13,spend two swift actions to increase damage 1 die,,,,,x,"[melee(armed, unarmed)][ok], [combat][offensive], , [strength]"
F,33,Mighty Throw,"You can add your Strength bonus (in addition to your Dexterity bonus) to your ranged attack bonus when using thrown weapons (including grenades and grenade-like weapons). Also, you can increase the length of each range category by a number of squares equal to your Strength modifier.",Str 13,"add Str & Dex to thrown Atk, range + squares = Str mod",,,,,x,"[ranged(grenade, thrown)][ok], [combat][offensive], [strength], , [strength]"
R,34,Mind of Reason,You can use your Wisdom bonus instead of your Intelligence bonus for all Intelligence-based skill checks.,Cerean,can use Wisdom instead of Intelligence for Intelligence-based skills,,,,,,"[species(cerean)], [wisdom], [intelligence], [skill(general)]"
GW,24,Mission Specialist,"Choose one skill in which you are trained. Allies who are not trained in that skill gain a +2 competence bonus to the skill while they are within 12 squares of you. You can select this feat multiple times. Each time you select this feat, it applies to a different skill. Special: Only allies who have the Force Sensitivity feat gain this bonus to Use the Force checks.",,"choose a trained skill, allies not trained gain +2 w/in 12 sq",x,x,x,x,x,[skill(general)]
CR,86,Mobility,"You get a +5 dodge bonus to Reflex Defense against attacks of opportunity caused when you move out of or into a threatened area (see Attacks of Opportunity, CR page 155). A situation that makes you lose your Dexterity bonus to Reflex Defense (if any) also makes you lose dodge bonuses. Dodge bonuses stack with each other, unlike most types of bonuses. [[Can be used by a mount.]]","Dex 13, Dodge",+5 Ref Def against attacks of opportunity,x,,x,x,,"[mobility], [combat][defensive], [dexterity]"
T,127,Momentum Strike,"When riding a beast as a mount or on a speeder bike (as a passenger or a pilot), you add a +1 die of damage to any melee attacks if your mount or vehicle has already moved at least its speed this turn.",Trained in Pilot or Ride,melee Atk +1 die damage if mounted and moving,,,,,,"[melee(armed, unarmed)][ok], [skill(pilot)], [skill(ride)], [combat][offensive], [vehicle][starship]"
R,34,Mon Calamari Shipwright,"You need spend only two swift actions to move a vehicle you occupy +1 step on the condition track. In addition, you automatically succeed on Mechanics checks to reroute power (see page 172 of the Saga Edition core rulebook). Normal: It takes three swift actions to use the reroute power action.",Mon Calamari,"spend 2 swif to move vehicle up CT not 3, automatically reroute power",,,,,,"[species(mon calamari)], [skill(mechanics], [combat],  [vehicle][starship]"
UR,27,Mounted Combat,"You can make a DC 20 Ride check as a swift action to spur your living mount to move faster than its normal speed. If the check fails, your mount’s speed does not increase and it moves -1 step on the condition track. If the check succeeds, your mount’s speed increases by 2 squares until the start of your next turn. You cannot take 10 on this check. Your mount must succeed on a DC 20 Endurance check prior to each subsequent attempt to use this feat in the same encounter. Additionally, once per round, as a reaction, when you are riding a mount, you can negate a weapon hit against either you or the mount by making a successful Ride check. The DC of the skill check is equal to the result of the attack roll you want to negate.",Trained in Ride,"DC20 Ride as swif +2sq spd, failure = mount -1 CT, 1/round negate hit v. you or mount w/Ride check, DC20 Endurance for mount each time after in enc",,x,,x,,"[skill(ride)], [combat][defensive], [mobility]"
T,127,Mounted Defense,"When riding a beast as a mount or on a speeder bike (as a passenger or a pilot), once per encounter you can redirect any attack against you at your mount or vehicle instead. The decision to redirect the attack is made after the result of the attack roll is determined but before the damage or the effects are resolved.",Trained in Pilot or Ride,"Once per encounter, can redirect Atk to mount or vehicle, after Atk",,,,,,"[skill(ride)], [skill(pilot)], [combat][defensive], [vehicle]"
GW,29,Mounted Regiment (team feat),"You gain a +3 competence bonus to Ride checks. At the time you make a check, for each ally within 12 squares of you who also has this feat, the competence bonus increases by 1 (to a maximum of +7). Additionally, once per round as a reaction to your mount being attacked, you can make a Ride check; if the result exceeds the mount's Reflex Defense, use your check result against the attack instead of using the mount's Reflex Defense.",Trained in Ride,"+3 Ride & +1 each ally w/feat w/in 12 sq (max +7), 1/rnd as reac to mount being atked make Ride check & if over mount's Ref Def use instead",,,,,,"[skill(ride)], [team], [support]"
R,29,Moving Target,"If you end your turn at least 3 squares away from where you started, you gain a +1 dodge bonus to your Reflex Defense until the start of your next turn.","DEX 13, Dodge",if end turn 3 sq from start +1 dodge to Ref Def,x,,x,x,,"[mobility], [combat][defensive]"
L,36,Multi-Grab,"As a standard action, you can make a grab attack against two targets adjacent to you (roll a separate attack against each target). You must have two empty hands to use this feat.",Dex 13,"as stan action, grab atk v. 2 adjacent if you have 2 empty hands",,,,,x,"[melee(unarmed)], [combat][offensive], [grapple[u]], [dexterity]"
SGD,24,Multi-Targeting,"You can use swift actions across more than one round to aim at a target. You can attack different targets prior to the completion of your aim action. If the subject of your aim is out of your line of sight for any reason, you lose your aim and must start again. Normal: You must normally use two consecutive swift actions in the same round to aim (see page 154 of the Saga Edition core rulebook).","Droid, Intelligence 13, proficient with weapon.",use swif actions across more than 1 rnd to aim if target stays in LOS & atk others,,,,,,"[ranged(fired, thrown)][target], [species(droid)], [intelligence], [aim]"
F,34,Natural Leader,"You become the leader of an organization of your design (see FU page 58: Chapter 4: Organizations for more information on designing new organizations). The organization has a scale equal to one-half your heroic level plus your Charisma bonus, and continues to grow in scale as you gain levels. You automatically begin with a +10 bonus to your organization score for your new organization.",Cha 13,"organization has scale = 1/2 HL + Cha mod, +10 organization score",,,,,,[charisma]
R,34,Nature Specialist,"Whenever you spend a Force Point to add to a Knowledge (life sciences) check, increase the die type by two steps (from d6 to d10, or from d8 to d12).",Ithorian,"when spend FP to Knowledge (life sciences), increase die type by 2 steps",,,,,,"[species(ithorian)], [skill(knowledge(life sciences))]"
GW,24,Never Surrender,"The first time you would be reduced to 0 hit points in an encounter, you can make an Endurance check as a reaction, with a DC equal to the number of points of damage being dealt to you. If your check succeeds, you are instead reduced to 1 hit point.",Trained in Endurance,"make Endurance check 1st time reduced to 0 hp as reac w/DC = dam done, if successful reduced to 1 hp",x,,,x,x,"[skill(endurance)], [combat][defensive]"
UR,28,Nikto Survival,"Select a Nikto subspecies: Kajain’sa’Nikto (desert), Kadas’sa’Nikto (forest), Esral’sa’Nikto (mountains), Gluss’sa’Nikto (ocean), or M’shento’su’Nikto (arctic). In addition to the usual Nikto species traits, when you are operating in an environment advantageous to your native subspecies, you can reroll any Survival check, taking the better result.",Nikto,reroll Survival & keep better in environment of subspecies,,,,,,"[species(nikto)], [skill(survival)]"
GW,29,Nimble Team (team feat),"You gain a +3 competence bonus to Acrobatics checks. At the time you make a check, for each ally within 12 squares of you who also has this feat, the competence bonus increases by 1 (to a maximum of +7). Additionally, when you use the Acrobatics skill to tumble, you can tumble 1 extra square.",Trained in Acrobatics,"+3 Acrobatics & +1 each ally w/feat w/in 12 sq (max +7), can tumble 1 extra sq",,,,,,"[skill(acrobatics)], [team], [support]"
GW,25,Officer Candidacy Training,You gain a +2 bonus to your Rank and Privilege organization score (see page GW 73 for more information).,,+2 to Rank & Privilege organization score,x,,,,x,x
SV,23,Opportunistic Retreat,"Whenever an opponent provokes an attack of opportunity from you, once per turn you can sacrifice the attack to move a number of squares equal to one-half your speed. Moving in this way does not provoke attacks of opportunity.",Combat Reflexes,"instead of Atk of Opp 1/turn not attack to move half speed, no atk opp",x,x,,,,"[attack of opportunity], [mobility], [combat][offensive]"
GW,25,Opportunistic Shooter,You gain a +2 bonus to attacks of opportunity with ranged weapons.,,+2 to attacks of opportunity with ranged,,,x,x,x,"[ranged(fired)][question gtaoo], [attack of opportunity], [combat][offensive], "
GI,28,Opportunistic Trickery,"Whenever an opponent provokes an attack of opportunity from you, once per turn you can sacrifice that attack to reduce the target's Reflex Defense by 2 for the following round.","Combat Reflexes, Sneak Attack","1/turn instead of AoO, reduce target's Ref Def by 2 next round",,,x,,,"[ranged(fired)][question gtaoo], [melee(armed, unarmed)], [attack of opportunity], [combat][offensive]"
C,31,Overwhelming Attack,"You must spend two swift actions in the same round to activate this feat. If your target attempts to use a talent, feat, or other ability to negate your attack (such as Block, Deflect, or Vehicular Combat), the target takes a -5 penalty to any attack rolls or skill checks it makes to negate the attack. This effect applies to the next attack you make before the end of the same round.",,"2 swif for -5 on target's attempt to negate (Block, Vehicular Combat)",,,x,,x,"[ranged(fired, thrown)][target], [melee(armed, unarmed)], [combat][offensive]"
C,31,Pall of the Dark Side,You can add one-half your Dark Side Score (minimum 1) to any Use the Force checks made to resist attempts to detect you with the Sense Force application of the Use the Force skill.,Dark Side Score 1+,add one-half Dark Side Score to Use the Force to resist detection,,,,,,"[skill(use the force)], [force], [dark side][o]"
R,35,Perfect Intuition,"Whenever you reroll an Initiative check, you always keep the better result, even if you have multiple reroll abilities.",Cerean,always keep the better result on a Initiative reroll,,,,,,"[skill(initiative], [species(cerean)]"
R,35,Perfect Swimmer,"Whenever you reroll a Swim check, you always keep the better result, even if you have multiple reroll abilities.",Gungan,always keep the better result on a Swim reroll,,,,,,"[species(gungan)], [skill(swim)]"
CR,87,Pin,"If you succeed on a grappling attack and your opponent fails the opposed grapple check, your opponent is automatically pinned until the start of your next turn. A pinned creature can't move or take any actions while pinned, and it loses its Dexterity bonus (if any) to Reflex Defense. Special: You cannot use the Pin and Trip feats during the same round. You can use the Pin and Crush feat in the same round, however.",BAB +1,grappled opp is pinned 1 round and loses Dex to Def,,,,,x,"[melee(unarmed)], [grapple], [combat][offensive], [pin]"
SGD,24,Pincer,"When you successfully Pin an enemy (see page 87 of the Saga Edition core rulebook), you can maintain the Pin beyond 1 round and can make subsequent grapple checks against the pinned enemy as a swift action. You can apply the Crush feat whenever your subsequent checks are successful. Normal: Grapple checks are normally a standard action. The Pin feat must usually be rerolled each round as a new grapple check.","Droid, equipped with claw or hand appendage, base attack bonus +1, Pin, Crush.",can maintain Pin beyond 1 rnd & make grapple checks against pinned as swif & apply Crush,,,,,,"[melee(unarmed)], [species(droid)], [grapple], [pin], [combat][offensive]"
SGD,24,Pinpoint Accuracy,"When using the Aiming Accuracy feat, a target you damage cannot take the recover action until the end of its next turn.","Droid, Aiming Accuracy, Point Blank Shot, Precise Shot, proficient with weapon.",target of Aiming Accuracy cannot take the recover action until next turn,,,,,," [species(droid)], ranged(fired, thrown)][target], [combat][offensive]"
GW,25,Pistoleer,"When you make a ranged attack with a pistol, you gain one of the following benefits, depending on the kind of pistol you use. Blaster Pistol: You treat the blaster pistol as an accurate weapon. Heavy Blaster Pistol: You do not treat the heavy blaster pistol as an inaccurate weapon. Hold-Out Blaster Pistol: If you fire a hold-out blaster pistol at a target that has not yet acted in combat, you gain a +2 bonus to your attack rolls with that weapon against that target. The bonus applies to all such attacks until the target acts.",Proficient with weapon used*,"Blaster Pistol is accurate, Heavy Blaster Pistol not inaccurate, Hold-out if target has not acted +2 atk until the target acts",,,x,x,x,"[ranged(fired)], [combat][offensive]"
R,35,Pitiless Warrior,"Whenever you reduce a target to 0 hit points, you gain a number of bonus hit points equal to 5 + one-half your level. Damage is subtracted from bonus hit points first, and any bonus hit points remaining at the end of the encounter are lost. Bonus hit points do not stack.",Trandoshan,gain hp = 5 + 1/2 level if reduce opponent to 0 hp,,,,,,[species(trandoshan)]
CR,87,Point Blank Shot,"You get a +1 bonus on attack and damage rolls with ranged weapons against opponents within point blank range (see Table 8-5: Weapon Ranges, CR page 129). [This feat applies to area effect weapons such as flamethrowers and grenades. The benefit of this feat (and similar ranged-based benefits) do not extend to Short Range when used with an Accurate weapon or a scope.] SSotG: This feat works normally with vehicle weapons. However, if you are using a missile or a torpedo and you miss with your attack roll, the projectile does not gain the benefit of this feat for the second attack roll.",,+1 on ranged Atk and damage against point blank foes,,,,x,x,"[ranged(fired, thrown)][target], [combat][offensive], [vehicle][starship][SotG]"
K,34,Poison Resistance,"You gain a +5 bonus to your Fortitude Defense when attacked by poison. If the attack succeeds, you take only half damage.",Con 13,"+5 Fort Def v. Poison, half dam if fail",,,x,x,,"[fortitude defense], [combat][defensive], [constitution]"
CR,87,Power Attack,"On your action, before making an attack roll, you may choose to subtract a number from all melee attack rolls and add the same number to all melee damage rolls. This number may not exceed your base attack bonus. The penalty on attacks and bonus on damage applies until the start of your next turn. Special: If you attack with a two-handed weapon, or with a one-handed weapon wielded in two hands, instead add twice the number subtracted from your attack rolls. You can't add the bonus from Power Attack to the damage dealt against an object or vehicle.",Str 13,trade Atk bonus on melee attacks for damage (up to BAB),x,,,,x,"[melee(armed, unarmed)][ok], [combat][offensive], , [strength]"
K,34,Power Blast,"As a swift action, before making an attack roll, you can choose to subtract a number from all ranged attack rolls and add the same number to all ranged damage rolls. This number cannot exceed your base attack bonus. The penalty on attacks and bonus on damage applies until the start of your next turn but you gain no bonus to damage with area attacks or when attacking objects or vehicles from this feat. Special: If you do not have a Strength of 13 or higher, you take a -5 penalty to attacks when using this feat with non-vehicle weapons.",,"trade Atk bonus on ranged atk for dam (BAB), no Str 13 -5 Atk",,,,,x,"[ranged(grenade, fired, thrown)][ranged attack], [combat][offensive], "
CR,87,Powerful Charge,"When you charge, you gain an additional +2 bonus to your melee attack roll. If your melee attack hits, you deal additional damage equal to one-half your level. [[Can be used by a mount.]]","BAB +1, Medium or larger size",+2 Atk on charge and extra damage = 1/2 your level,x,,,,,"[melee(armed, unarmed)][ok], [charge], [combat][offensive], "
F,34,Powerful Rage,You gain a +4 bonus on Strength checks and Strength-based skill checks when raging.,Rage,+4 Str checks & Str skill checks while raging,,,,,,"[rage], [strength], [combat][offensive]"
CR,87,Precise Shot,"You can shoot or throw a ranged weapon at an opponent engaged in melee combat with one or more of your allies without taking the standard -5 penalty (see Shooting or Throwing into a Melee, CR page 161).",Point Blank Shot,no penalty shooting into melee,,,x,x,x,"[ranged(fired, thrown)][target], [combat][offensive], "
GW,25,Predictive Defense,You can use either your Dexterity modifier or your Intelligence modifier to determine your Reflex Defense. [[HR: You still lose your INT bonus to Ref if you are flat-footed.]],Int 13,can use Dex or Int mod to determine Ref Def,,x,x,,,"[dexterity], [intelligence], [combat][defensive], [intelligence]"
R,29,Prime Shot,"If none of your allies is closer to your target than you are when you make a ranged attack, you gain a +1 circumstance bonus to the attack roll. Your target must be at short range or closer to gain this bonus.",Point Blank Shot,"if none of your allies are closer than you, +1 ranged atk (short or closer)",,,x,x,x,"[ranged(fired, thrown)][target], [combat][offensive], "
R,35,Primitive Warrior,You deal +1 die of damage with simple melee weapons.,Gamorrean,+1 die dam with simple melee weapons,,,,,,"[melee(armed)], [species(gamorrean)], [combat][offensive], "
R,35,Quick Comeback,"Whenever you are moved down the condition track by an attack that deals damage that equals or exceeds your damage threshold, until the end of your next turn you can move +1 step on the condition track as a single swift action. You can use this feat only once per attack that moves you down the condition track.",Gamorrean,when moved down CT can move +1 up CT until end of next turn,,,,,,"[species(gamorrean)], [damage threshold], [combat][defensive]"
CR,87,Quick Draw,"You can draw or holster a weapon as a swift action instead of as a move action. [If a Jedi has the Quick Draw feat and wanted to draw his lightsaber, he does not have to use another swift action to activate the lightsaber. The ""draw a weapon"" action normally includes everything necessary to render that weapon immediately usable, including deactivating the safety on a blaster pistol and activating a lightsaber or vibroblade.]",BAB +1,draw weapon as swift action instead of move action,x,,x,,x,"[ranged(grenade, fired, thrown)][ok], [melee(armed)][ok], [combat]"
K,31,Quick Draw + Dual Weapon Mastery I,"You can draw or holster two weapons with a single swift action; you must have both hands free to draw both weapons, and each weapon must be able to be held in one hand. ","Combo, requires Dual Weapon Mastery I",draw or holster 2 weapons as single swif action,,,,,,"[ranged(grenade, fired, thrown)][question gtdw], [melee(armed)], [combat][offensive], [combo]"
K,31,Quick Draw + WP (lightsabers),You can draw and ignite your lightsaber as a single swift action. ,"Combo, requires proficiency in lightsabers",draw and ignite lightsaber as single swif action,,,,,,"[melee(armed)], [combat][offensive], [combo]"
K,34,Quick Skill,"Once per encounter, you can take 10 when rushed on a single skill check for a skill you are trained in, unless the skill description explicitly forbids it. Alternatively, you can take 20 when using a skill you are trained in at half the normal time required. Normal: Taking 20 normally requires 20 times the amount of time needed by a regular skill check.",,"Once per encounter, can take 10 when rushed, can take 20 in half time",,x,x,,,[skill(general)]
L,36,Rancor Crush,"When you successfully pin an enemy with the Pin feat (see page 87 of the Saga Edition core rulebook) and use the Crush feat at the same time, the enemy moves -1 step down the condition track in addition to taking damage. Normal: The Crush feat deals damage to a grappled enemy but does not move the enemy along the condition track.","Str 15, Crush, Pin, BAB +1","when you Pin an opponent & use Crush feat, target -1 CT",,,,,x,"[melee(unarmed)], [grapple], [combat][offensive], [pin], [strength]"
R,29,Rapid Reaction,"Once per encounter, you can use two different reactions in response to the same trigger. For example, if you use the Deflect talent and fail to negate the attack, you can also use negate energy as a response to the same attack. Normal: Without this feat, you can use only one reaction in response to a particular trigger.",,1/enc you can use two different reactions to the same trigger,x,x,x,x,x,[combat][defensive]
CR,88,Rapid Shot,"When using a ranged weapon, you may fire two shots as a single attack against a single target. You take a -2 penalty on your attack roll, but you deal +1 die of damage with a successful attack. Special: Using this feat fires two shots and can only be done if the weapon has sufficient ammunition remaining. The effects of this feat do not stack with the extra damage provided by the Burst Fire feat (page 82) or Deadeye feat (page 84). If you do not have a Strength of 13 or higher, increase the penalty to attacks to -5 when using this feat with non-vehicle weapons. SSotG: This feat works normally with vehicle weapons. However, if you are using a missile or a torpedo and you miss with your attack roll, the projectile does not gain the benefit of this feat for the second attack roll. ","BAB +1, proficient with weapon*","-2 Atk for +1 die dam, ranged, fires 2 shots, if no Str 13 extra Atk -5",,,x,x,x,"[ranged(grenade, fired, thrown)][question gtmulti], [combat][offensive], [strength],  [vehicle][starship][SotG]"
CR,88,Rapid Strike,"When using a melee weapon, you may make two strikes as a single attack against a single target. You take a -2 penalty on your attack roll, but you deal +1 die of damage with a successful attack. The effects of this feat do not stack with the extra damage provided by the Mighty Swing feat. Special: If you do not have a Dexterity of 13 or higher, increase the penalty to attacks to –5 when using this feat with non-light weapons. [[Does not work with Whirlwind Attack.]]","BAB +1, proficient with weapon*","-2 Atk to deal +1 die damage, melee, if no Dex 13 extra -5 Atk",x,,,,x,"[melee(armed, unarmed)][question ulswp], [combat][offensive], , [dexterity]"
F,34,Rapport,"When using the aid another action, you grant an additional +2 insight bonus on skill checks and attack rolls to the character you are assisting. This bonus does not stack with any bonus provided by the noble's Coordinate talent.",,"additional +2 aid another, does not stack with Coordinate",,x,,,x,[support]
R,35,Read the Winds,You ignore concealment and cover for the purposes of Perception checks against targets within 10 squares of you.,Kel Dor,ignore concealment & cover for Perception w/in 10 sq,,,,,,"[species(kel dor)], [skill(perception)])"
R,30,Rebel Military Training,"Whenever you use the Running Attack feat to move both before and after making an attack, you gain a +2 dodge bonus to your Reflex Defense until the start of your next turn.","Running Attack, DEX 13",if move before & after attack +2 Ref Def,,,,x,x,"[mobility], [combat][defensive]"
F,35,Recall,"Once per day, you can reroll any check for a Knowledge skill that you are trained in, using the better result.",Trained in one Knowledge skill,"Once per day, reroll trained Knowledge check, taking best",,x,,,,[skill(knowledge)]
R,30,Recovering Surge,"When you catch a second wind, you move +1 step on the condition track.",,move +1 up CT when catch Second Wind,x,x,x,x,x,"[second wind], [combat][defensive]"
GI,28,Recurring Success,"When you select this feat, choose one talent or feat that can normally be used only once per encounter. You can use that talent or feat one additional time per encounter. You can select this feat multiple times. Each time you do so, you must choose a different skill to gain the benefits of this talent. [[Cannot be used with talents that allow for 3 actions]]",,choose one talent or feat. That feat may be used once more /enc,,,,,,[talent][feat]
R,35,Regenerative Healing,"Once per day when you catch a second wind, you can regain no hit points immediately and instead regain 5 hit points at the end of each of your turns until you reach full hit points or until the end of the encounter (whichever comes first).",Trandoshan,1/day with Second Wind regain no hp but gain 5 hp at end of each turn,,,,,,"[species(trandoshan)], [second wind]"
J,23,Relentless Attack,"Choose one weapon group or exotic weapon for which you have the Double Attack feat. Whenever you miss a target with that weapon, you gain a +2 competence bonus on your next attack roll made before the end of your next turn against the missed target. Special: You can select this feat multiple times. Each time you select this feat, it applies to a different weapon group or exotic weapon.","Proficient with weapon used*, Double Attack with weapon used, BAB +6","if miss, add +2 on next atk roll before end of next turn against missed",,,,,,"[ranged(fired, thrown)][target][question gtmulti], [question gtda], [melee(armed, unarmed)][question ulswp], [combat][offensive]"
