BOOK,PAGE,WEB,ITEM,Desc.,COMMENTS,TYPE,Cost,Weight,Uses, Use Cost
CR,138,w,Liquid cable dispenser (15 meters),"Liquid Cable Dispenser

Cable dispensers contain a special liquid that instantly solidifies upon contact with either atmosphere or vacuum to form a tough, lightweight, flexible cable.

The dispenser contains enough liquid for 15 meters (10 squares) of cable and is refillable at authorized outlets. The cable has Strength 28 and can safely support up to 560 kg, and it can be broken with a DC 24 Strength check.
","10sq, Str 28, can be broken with DC24 Str check",Survival Gear,10,0.2,,
SV,52,X,Lock Breaking Kit,"Lock Breaking Kit (SaV)

Highly illegal and favored by shipjackers and pirates, a lock breaking kit is like a tool kit in many ways but has some very advanced and highly special­ized tools. A lock breaking kit grants the user a +5 equipment bonus on all Mechanics and Use Computer checks to bypass doors and airlocks on a starship.
",Mechanics & Use Computer +5 to bypass doors & airlocks on ships,Tools,8000,4,,
K,211,X,Low-light goggles (Calo Nord's),,gain low-light vision,Detection and Surveillance Devices,,,,
SV,52,w,Man Trap,"Man Trap (SaV)

A man trap is a reversed repulsor field that draws a target directly down, as though in incredibly high gravity. A man trap covers 1 square, and any creature entering the square of a man trap is immediately immobilized (unable to move voluntarily). A creature can attempt to break out of a man trap as a move action, requiring a DC 40 Strength check. It can be deactivated using a remote (treat as a portable computer with Intelligence 16).
","1sq, immobilizes any in square, Str check DC 40",Tools,8000,19,,
UR,220,w,Mask of Darth Nihilus,"This Sith artifact encourages the wearer to slowly destroy him- or herself for greater power. Anyone who does not possess Force-related feats gains Force Sensitivity and Force Training while wearing the mask. A Jedi or Sith wearing the mask gains two Force Training feats. At least half of the powers gained in this manner must have the [dark side] descriptor. 

The mask extracts a heavy toll from its wearer. Each time the wearer uses a Force power or spends a Force point, he or she gains a Dark Side Point. Each time the wearer uses a number of Force powers equal to his or her Constitution modifier in a single encounter, the wearer moves -1 step on the condition track and gains a persistent condition. The persistent condition is removed only when the wearer takes off the mask. 

","gains Force Sensitivity & Force Training while wearing, Jedi or Sith gain 2 Force Training (half w/dark), each time use gain Dark Side Point & could move down CT",Artifacts,,,,
T,36,w,MDS-50 Medisensor,"MDS-50 Medisensor

Sweeping this small, handheld sensor over the subject's body produces a summary of the patient's vital signs. An MDS-50 medical sensor can be used as a swift action on an adjacent creature or character, providing the user with the target's current hit points, its place on the condition track, and the presence of (but no specifics on) diseases, poison, or radiation exposure.
","swif to know hp, on track or conditions",Medical Gear,75,0.1,,
K,73,w,Mechanical interface visor,"Mechanical Interface Visor (KotORCG)

This visor translates images received through its visual sensors and scans them for common mechanical designs. The visor then provides the wearer a heads-up display of basic information and tips on dealing with those designs. The mechanical interface visor allows the wearer to attempt trained-only applications of the Mechanics skill even if untrained, and grants a +2 equip­ment bonus on Mechanics checks. A mechanical interface visor cannot be worn at the same time as armor with a helmet or any other device worn on the head.
",Mechanics +2 as if trained,Tools,1250,0.5,,
J,63,w,"Medical bundle, 8-2A","Medical Bundle, 8-2A (JATM)

The standard medical kit carried by most Jedi, the 8-2A medical bundle contains the basic items needed to treat ailments and diseases in a package small enough to fit in a utility belt. Since Jedi can rely on the Force to speed up their healing processes, many common items—such as bacta patches and synthetic flesh-are absent from the medical bundle. An 8-2 A medical bundle counts as a medical kit for the purposes of using the Treat Injury skill, but only on targets currently in a Force trance.
",counts as a medical kit if in Force trance,Medical Gear,200,1,,
K,73,w,Medical interface visor,"Medical Interface Visor (KotORCG)

This visor contains thousands of preprogrammed medical training tutorials. It analyzes visuals and provides tips and assistance in a variety of medical situations. The medical interface visor allows the wearer to attempt trained- only applications of the Treat Injury skill even if untrained, and grants a +2 equipment bonus on Treat Injury checks. A medical interface visor cannot be worn at the same time as armor with a helmet or any other device worn on the head.
",Treat Injury +2 equipment bonus as if trained,Medical Gear,1500,0.5,,
CR,138,w,Medical kit,"Medical Kit

This backpack-sized medical kit includes almost everything a first responder needs to save a life: diagnostic scanners, anti-venom, medicine to counteract the effects of contaminated water and radiation poisoning, burn treatments, defibrillators, respirator, shock blankets, pressure cuffs, a collapsible repulsorlift stretcher for patient transport (capable of hovering with 160 kg load), and even limited surgical tools. In addition, a medical kit has six external pouches for carrying expendable medical supplies, such as medpacs.

You need a medical kit to revive a dying character, treat disease, treat poison, or treat radiation (see the Treat Injury skill, page 74).
",Treat Injury +2 equipment bonus for First Aid,Medical Gear,600,20,,
CR,138,w,Medpac,"Medpac

Medpacs are compact packages designed to both equip a trained medic for work in the field and to allow untrained individuals to apply first aid in emergencies. A medpac contains bandages, bacta, synthetic flesh, coagulants, stimulants, and other medicines designed to help an injured patient recover quickly.

Once you use a medpac, its contents are expended even if your Treat Injury check is not successful. Any given creature can only benefit from the use of a medpac once in a 24-hour period. (See the Treat Injury skill, page 74, for more information.)
",Required to perform First Aid,Medical Gear,100,1,,
CR,139,w,Mesh tape,"Mesh Tape

The usefulness of mesh tape is limited only by a character's imagination. Mesh tape adhesive has Strength 15 and can support up to 90 kg indefinitely (and up to 180 kg for up to 5 rounds). Mesh tape itself has Strength 20 when used to bind another character and requires a DC 20 Strength check to break.

A roll provides 30 meters (20 squares) of tape, 5 centimeters wide.
","Str 15, Str 20 to bind, can be broken with DC20 Str check, 30m/20sq 5cm wide",Tools,5,0.5,,
SGD,60,X,Micro shield (handheld version),,"activate as swif, +1 Ref Def, can run for 1 hour (availability: licenced)",Tools,400,,,
UR,41,w,Microlab,"Microlab (UR)

A microlab is a handheld portable laboratory for analyzing substances. When you need quick identification of a material and you cannot wait for the results of a full analysis from another location, the microlab works well enough to answer most questions. In some cases, the microlab's analysis is just as good as a full examination. A sample of the substance in question is placed in a small tube that is then slid into the microlab. A DC 15 Knowledge (physical sciences) check is necessary to complete the examination, and the results are then displayed on the device's small screen.
",DC 15 Knowledge (physical sciences) to complete examination,Detection and Surveillance Devices,1800,0.8,,
W,272,w,Mobile Hologram Projection Pod,,receive communications while walking or in transit to your next destination,Communications Devices,"10,000",75,,
K,74,w,Motion sensing visor,"Motion Sensing Visor (KotORCG)

The motion sensing visor tracks movement and highlights moving objects with color-coded warnings. This allows the wearer to see moving enemies with ease, even those attempting to be stealthy. The wearer of this visor gains a +5 equipment bonus to Perception checks against targets that have moved at least one square since the end of the wearer's last turn. However, a motion sensing visor can be disorienting, especially in the heat of combat, and a character must spend two additional swift actions to use the recover action when attempting to move up the condition track. A motion sensing visor cannot be worn at the same time as armor with a helmet or any other device worn on the head.
","Perception +5 v. targets that have moved 1 square, spend 2 extra swif to move up CT",Detection and Surveillance Devices,2500,0.5,,
UR,41,w,"Multitool, personal","Multitool, Personal (UR)

People who explore the untamed wilderness need many tools. In most cases, full-sized tools can be unwieldy, especially when cargo space is a limited commodity. The personal multitool is a low-tech device that holds miniature versions of several simple tools that can be useful in the wilder­ness. Although the arrangement of the implements can vary, the standard personal-multitool configuration for beings of Medium size includes a 5-cm vibroblade, a low-power hydrospanner, a small hydrogrip, a toothpick, and a miniature set of eating utensils. These tools are stored within the 6-cm handle and each fold out on a hinge. The vibroblade, hydrospanner, and hydrogrip are all powered by a single energy cell that must be replaced after 50 hours of constant use. The vibroblade can be used as a melee weapon that deals 1d4 points of damage.
",1d4 dam,Tools,100,0.2,,
J,69,w,Muur Talisman,"One of the most dangerous artifacts of the dark side known to have surfaced is the Muur Talisman. An ancient Sith Lord named Karness Muur created the Muur Talisman long before t he Great Hyperspace War. Whoever carries the talisman is filled with the power of the dark side. More importantly, the Muur Talisman holds the power to create and control vile creatures known as rakghouls.

A Force-sensitive character wearing the Muur Talisman can infect any target within 12 squares and in his line of sight with the rakghoul disease (see page 223 of the Knights of the Old Republic Campaign Guide) as a swift action, with no attack required. Furthermore, all rakghouls have a helpful attitude toward the wearer of the Muur Talisman. In addition, the Muur Talisman stops all aging in the host.

The Sith spirit of Karness Muur lurks within the talisman, speaking to the wearer and urging him to spread the Muur legacy through t he creation and command of rakghouls.
",Force-sensitive wearing it can infect any target within 12sq with Rakghoul disease,Artifacts,,,,
K,74,w,Neural band,"Neural Band (KotORCG)

Developed in response to both Sith and Jedi using the Force to manipulate soldiers and security personnel, the neural band reinforces various synapses throughout the brain and provides alternate conduits for electrical impulses within the mind, making the wearer's thoughts difficult to affect. Neural bands grant their wearers a +2 equipment bonus to Will Defense, but lower the wearer's damage threshold by -2. A neural band cannot be worn at the same time as armor with a helmet or any other device worn on the head.
","Will Def +2, threshold -2",Detection and Surveillance Devices,3500,0.5,,
W,261,w,Ooglith Masquer,"Ooglith Masquer

An ooglith masquer grants a Yuuzhan Vong a +5 equipment bonus on Deception checks when disguising himself as a Human. Putting on or removing an ooglith masquer requires a full-round action and moves the wearer –3 steps on the condition track. (These steps may be recovered normally
",grants a Yuuzhan Vong a +5 equipment bonus on Deception checks when disguising himself as a Human,Survival Gear,,,,
GI,66,w,Panic Ring,"Panic Ring (GoI)

Despite the name, this device is available in a variety of shapes and sizes, the most common being a large, ornamental ring. Diplomats, wealthy CEOs, and anyone who fears kidnapping or ambush wear panic rings. A secret catch (DC 25 Perception check) reveals a small button that, when pressed, releases an encrypted emergency signal. This signal has a range of 100 kilometers and continually broadcasts a preset signal—usually ""wearer in danger""—to local law enforcement, personal security, or any other group designated by the wearer. Changing this signal requires a DC 25 Mechanics check, and failure by 5 or more activates the panic ring.
","DC25 to hide, range 100km, DC 24 Mechanics to change signal & fail by 5 activates",Communications Devices,300,,,
GW,47,X,Personal field shelter,"Personal Field Shelter (GaW)

The personal field shelter allows soldiers to have protection from the weather without having to carry a huge amount of weight. When activated, this small package expands to create a small, narrow tent large enough to hold a single Medium character. As long as the character remains sealed inside, the portable shelter provides a +10 equipment bonus to the user's Fortitude Defense against extreme heat or cold. For one hour, the personal field shelter can also provide a breathable atmosphere, protecting against inhaled poisons, including poisonous atmospheres. Special filaments on the exterior of the field shelter help it blend with surroundings, granting a +2 equipment bonus to Stealth checks.
","+10 Fort Def heat or cold, 1 hour atmosphere, +2 Stealth",Survival Gear,500,1.5,,
K,136,w,Phrik-alloy vambraces (Zayne Carrick's),"unique item: worn on both forearms; use with Jedi talent Block instead of lightsaber; both arms must be free to use the Block talent, and Zayne must be aware of the attack and not flat-footed",unique item: can use with Block but both arms must be free & must be aware of the attack and not flat-footed,Weapon and Armor Accessories,,,,
GW,47,w,Plasma bridge,"Plasma Bridge (GaW)

A plasma bridge is projected from a single plasma generator, creating a surface 6 squares wide and up to 120 squares long. It can be used to bridge gaps or bypass terrain hazards (such as bodies of water or acid pools). The plasma bridge must be hooked up to a power generator in order to function. If an active plasma bridge is deactivated, or if its power generator is destroyed or disconnected, the plasma bridge generator stores enough energy to power the bridge for 2 rounds. After 2 rounds, if the plasma bridge is not reactivated or reconnected to a power generator, the bridge vanishes, and any character or anything on the bridge falls.
","120 sq long x 6 sq wide, power holds 2 rounds after disconnect",Survival Gear,12500,700,,
UR,41,w,Plastent,"Plastent (UR)

A plastent is a prefabricated high-grade polymer shelter that can be easily transported from place to place. Fully inflated, a plastent forms a triangular structure about 2 meters tall, providing enough room for four beings of Medium size. The temporary structure is light enough to be moved easily and sturdy enough to withstand most weather conditions. In addition to providing shelter, the plastent can have small pieces of equipment, such as a sensor array, mounted onto it. Most models come equipped with an inflation unit that can fully inflate the plastent within a few minutes.
",tent structure for 4 people,Survival Gear,300,2.7,,
CR,134,w,Pocket scrambler,"Pocket Scrambler

This is a simple add-on device that can be attached to any normal communications device, such as a com link and more advanced transceiver. The pocket scrambler automatically encodes any outgoing message so that it can be read only by a communications device equipped with a linked pocket scrambler. Anyone who intercepts the scrambled message must make a DC 30 Use Computer check to decrypt it.
",DC30 Use Computer to decrypt,Communications Devices,400,0.5,,
UR,41,w,Portable beacon,"Portable Beacon (UR)

Portable beacons do nothing more than transmit signals that can be received only by sensors. A single beacon is about 1 meter long. One end is pointed, making the beacon easy to embed in the ground, but a beacon also features a built-in tripod, enabling the beacon up be set up on a hard, flat surface. Able to transmit a signal to a range of 10,000 km from a planet's surface, a portable beacon is commonly used to mark the location of a safe landing zone. However, a beacon can be reprogrammed to broadcast a warning or a distress signal by connecting it to a datapad and succeeding on a DC 10 Use Computer check.
","10,000 km range, reprogram Use Computer DC 10",Communications Devices,1500,6.8,,
CR,136,w,Portable computer,"Portable Computer

Compact and light enough to be carried in an attaché case or backpack but powerful enough to run fairly complex programs, portable computers are the information technology of choice for anyone who needs access to a lot of data while on the go. As such, they are particularly popular with traveling business executives, military commanders in the field, and slicers.

A portable computer has Intelligence 14.
",Int 14,Computers and Storage Devices,5000,2,,
CR,139,w,Power generator,"Power Generator

A power generator is a small fusion reactor that provides continuous power for heavy weapons, vehicles, structures, and machinery. It can power anything up to a Gargantuan vehicle or structure indefinitely, a Colossal vehicle or structure ·for 1 day, and a vehicle or structure of Colossal (frigate) size for 1 hour. After that, it is disabled and must be repaired.

If a power generator is destroyed while in use, its fusion reactor overloads and explodes, venting plasma into the surrounding area. When a fusion reactor explodes, make an attack roll (ld20+ 10) against the Reflex Defense of every target within 4 squares. If the attack succeeds, the target takes 8d6 points of energy damage. If the attack misses, the target takes half damage.

A target with the Evasion talent (see page 50) takes half damage if the attack succeeds or no damage if the attack misses. This is an area attack.
","can power anything up to Colossal for 1 day, or 1 hour if larger",Tools,750,15,,
CR,139,w,Power pack,"Power Pack

A power pack is a compact rectangular battery that fits into the grip or barrel of an energy weapon, such as a blaster, to provide the power needed to fire it. A power pack can be recharged with a power recharger.
","battery that fits into energy weapon, such as a blaster, to provide the power needed to fire it",Tools,25,0.1,,
CR,139,w,Power recharger,"Power Recharger

A power recharger is used to recharge a power pack or energy cell. The recharge process takes 4 hours, and only one power pack or energy cell may be recharged at a time. A power recharger holds enough power to recharge 100 packs or cells, but is normally connected to a ship's or building's power supply, allowing it effectively unlimited recharge capacity.
","recharge in 4 hours, 1 charge at a time, can charge 100 packs or cells",Tools,100,1,,
R,127,X,Propulsion Pack,"Propulsion Pack (RECG)

Designed to enhance underwater movement, a propulsion pack allows its wearer to swim much faster. Activating a propulsion pack is a swift action, and you gain a swim speed of 8 squares until the end of your turn . A propulsion pack has 10 charges and can run continuously, so no swift action is required to activate the propulsion pack on subsequent rounds of use.

The packs are designed to be worn with seatrooper armor; wearing them without the accompanying stabilization fins reduces a character's swim speed by 25%.
","Swift action to get swim speed 8 in 1 turn, without fins swim spd is -25%",Life Support,200,10,10,
GW,47,X,Proximity flare,"Proximity Flare (GaW)

Soldiers and explorers use proximity flares as warning devices on the perim­eters of encampments. A flare is housed in a small cylinder with a spike on the bottom, allowing it to be securely placed in the ground. Sensors in the cylinder detect nearby shifts in air pressure. When any Small or larger character, creature, droid, or vehicle comes within a 3-square radius of the proximity flare, the flare launches, creating a stark, bright light illuminating a 10-square radius and eliminating concealment penalties due to insufficient lighting. Creatures can avoid tripping a proximity flare by making a DC 25 Stealth check.

A proximity flare can be used as a makeshift weapon when it is aimed horizontally instead of vertically. The proximity flare can shoot only in a straight line, determined when it is placed. The flare makes a +2 attack roll against the first target that it contacts, dealing 3d6 points of fire damage. If used in this way, the proximity flare sputters out after the attack and provides no additional illumination.
","10 sq illumination, DC 25 Stealth to avoid, +2 atk & 3d6 dam if used as weapon",Detection and Surveillance Devices,50,0.5,,
GW,47,X,Radiation detector,"Radiation Detector (GaW)

Worn on the wrist or on the front of armor or uniforms, a radiation detector alerts the user to the presence of radiation within 6 squares. The radiation detector gives a color code indicating the strength of radiation and, additionally, can be set to provide either a vibrating or an audible alarm.
",6 sq range,Detection and Surveillance Devices,20,,,
CR,138,w,Ration pack,"Ration Pack

Ration packs are compact meals that take up little room (you can fit six in a pouch designed to carry a data pad) but have all the requirements to nourish a person for one day. Each ration pack is geared for a range of species.

The food isn't appetizing, and it doesn't include water, but it does prevent malnutrition.
","1 day, no water",Survival Gear,5,0.1,,
CR,136,X,"Recording unit, audiorecorder","Recording Unit

This storage device is an audio, video, or holo recorder with a playback feature.

It has Intelligence 1 and 1 memory unit. You can modify a recording (edit, erase, or rearrange the order of events) with a DC 15 Use Computer check. However, anyone can make an opposed Perception check (if observing the recording) or opposed Use Computer check (if inspecting the data from the recording) to detect any modifications you have made. Editing or modifying a recording without first uploading it to a computer can be difficult: Add the recording unit's Intelligence modifier (-5) to any Use Computer checks you make to change the recording.

Audio Recorder: An audio recorder stores 100 hours of high-quality sound.

Video Recorder: A video recorder stores 10 hours of high-quality video.

Holo Recorder: A holo recorder stores 1 hour of high-quality holos.
","Int 1, modify DC15, 100 hours",Detection and Surveillance Devices,25,0.1,,
CR,136,X,"Recording unit, holorecorder","Recording Unit

This storage device is an audio, video, or holo recorder with a playback feature.

It has Intelligence 1 and 1 memory unit. You can modify a recording (edit, erase, or rearrange the order of events) with a DC 15 Use Computer check. However, anyone can make an opposed Perception check (if observing the recording) or opposed Use Computer check (if inspecting the data from the recording) to detect any modifications you have made. Editing or modifying a recording without first uploading it to a computer can be difficult: Add the recording unit's Intelligence modifier (-5) to any Use Computer checks you make to change the recording.

Audio Recorder: An audio recorder stores 100 hours of high-quality sound.

Video Recorder: A video recorder stores 10 hours of high-quality video.

Holo Recorder: A holo recorder stores 1 hour of high-quality holos.
","Int 1, modify DC15, 10 hours",Detection and Surveillance Devices,100,0.1,,
CR,136,X,"Recording unit, videorecorder","Recording Unit

This storage device is an audio, video, or holo recorder with a playback feature.

It has Intelligence 1 and 1 memory unit. You can modify a recording (edit, erase, or rearrange the order of events) with a DC 15 Use Computer check. However, anyone can make an opposed Perception check (if observing the recording) or opposed Use Computer check (if inspecting the data from the recording) to detect any modifications you have made. Editing or modifying a recording without first uploading it to a computer can be difficult: Add the recording unit's Intelligence modifier (-5) to any Use Computer checks you make to change the recording.

Audio Recorder: An audio recorder stores 100 hours of high-quality sound.

Video Recorder: A video recorder stores 10 hours of high-quality video.

Holo Recorder: A holo recorder stores 1 hour of high-quality holos.
","Int 1, modify DC15, 1 hour",Detection and Surveillance Devices,50,0.1,,
GI,67,w,Redirection Crystal,"Redirection Crystal (GoI)

A redirection crystal is filled with Tibanna gas and has a small blasting tube. Snipers and assassins use them to seemingly bank blaster shots, allowing the shooter to hide in one location while making a shot appear to come from another position. When struck by blaster fire, the gas inside the crys­tal explodes, directing the shot through the blast tube at the established angle. Only skilled snipers and assassins use redirection crystals because of the sheer difficulty in making a successful strike. Redirection crystals are sometimes used in conjunction with the Xerrol nightstinger (see page 64), taking advantage of the weapon's invisible blaster shot to confuse the enemy.

A redirection crystal is Fine size, giving it Reflex Defense 15, plus penalties for distance. If an attack with a blaster weapon successfully hits the redirec­tion crystal, make a second attack roll against the intended target, with a -10 penalty and additional range-increment penalties. The redirection crystal is destroyed, leaving only minuscule fragments, requiring a DC 30 Percep­tion check to notice and a DC 30 Knowledge (technology) check to identify.
","Fine size, Ref Def 15 + range, Redirect attack at -10 to hit + additional range, DC30 to identify",Tools,500,,,
UR,41,w,Repulsor boots,"Repulsor Boots (UR)

This footwear allows the wearer to float a short distance above the ground. Repulsor boots use a tiny repulsorlift unit in the sole of each boot to elevate the wearer up to 0.5 meters above the ground. With careful manipulation and positioning of one's feet, the boots can be used to move, but users cannot exceed a movement rate of 2 squares per round with this method. Although they are not an optimal method of travel, repulsor boots are a great aid in climbing, granting the wearer a +10 equipment bonus to Climb checks.
","0.5 m off ground, move 2sq/rnd, +10 Climb",Weapon and Armor Accessories,200,2,,
UR,41,w,Repulsor hitch,"Repulsor Hitch (UR)

When a large or heavy object needs to be moved and a speeder is not avail­able, a repulsor hitch can be used instead. The hitch is a small repulsorlift encased in a durasteel shell that can be attached to a cable or another extension. When activated, a repulsor hitch can lift items weighing up to 200 kg, enabling them to be moved. Explorers find that the hitch is especially useful for transporting large creatures. Objects weighing more than 200 kg are not affected by the hitch, since the repulsor field is not strong enough to lift the entire mass. Some droid models, such as the MULE droid (page 45), are designed to allow a hitch to be attached to their chassis, allowing the droids to move heavy objects.
",lift 200kg,Tools,100,3,,
F,102,X,Repulsor pad,"Repulsor Pad (TFUCG)

A repulsor pad is used mostly to ease manual labor. In essence, it is a flat board with four repulsors, one at each corner, that can be used to lift heavy objects for short-range transport. This allows a single worker to move a heavy crate or other object without the need to use a vehicle or a binary load lifter. During the Dark Times, the repulsor pad is often used by saboteurs to transport heavy machinery or by thieves to cart off large objects without the need to use noisy vehicles or droids. Each repulsor pad occupies a single square and can be used to lift an object that occupies no more space than that single square; multiple repulsor pads can be used to lift larger objects. Activating a repulsor pad (or a group of pads) is a swift action, and a repulsor pad can move along with a character if that character uses a swift action to grab and drag the pad. If two creatures attempt to pull a repulsor pad in opposite directions, they make opposed Strength checks, and the pad moves along with the victor.
",used to lift heavy objects,Tools,200,6,,
T,17,u,Rhen-Orm Biocomputer,"Rhen-Orm Biocomputer

The Anzati surgically implanted a biocomputer in Aurra Sing's skull to expand her range of awareness and sense those who have uncommon ""luck."" The computer processes information received from a long antenna that protrudes from her forehead. The result of this implant is that when Aurra Sing makes a Survival check to track an opponent, she adds her quarry's Force Point total as an equipment bonus to her checks. A Rhen-Orm Biocomputer must be installed by a character who has the Cybernetic Surgery feat, and is counted as a cybernetic prosthesis.
","Cybernetic, when tracking, add quarry's Force Point total to the survival check",Cybernetics,,,,
UR,41,w,"Saddle, riding","Saddle, Riding (UR)

Although the styles vary from one corner of the galaxy to another, the basic function of a riding saddle remains unchanged: to provide a rider with a supportive structure that is fastened to a mount and that often incorporates a means of directing the creature. Saddles must be made to conform to the type of creature for which they are used. Most vendors who sell riding mounts include the cost of a riding saddle with the purchase of the creature.
",usually sold with riding mounts,Tools,125,4,,
UR,42,w,"Saddle, war","Saddle, War (UR)

A variant of the standard riding saddle is the war saddle, which offers a sturdier platform for the rider, reducing the chances of being knocked off the mount and better enabling the rider to guide the beast in combat while still fighting effectively. Use of a war saddle on a mount provides the rider a +2 equipment bonus to Ride checks made to control the mount in battle, to guide the mount with his or her knees, and to stay in the saddle.
","+2 Ride to control mount in battle, guide mount w/knees or stay in the saddle",Tools,250,6,,
CR,139,w,Security kit,"Security Kit

A security kit is a set of special tools for bypassing electronic and mechanical locks. It usually includes electronic components and dedicated sensor devices. On most worlds, possession of a security kit is illegal for anyone who doesn't have the proper permits, such as members of law enforcement agencies and professional security experts.

A security kit is required to bypass traps or security systems using the Mechanics skill (see page 68). A security kit contains a com link that monitors frequencies typically used by silent alarms, so the user can know if such an alarm has been triggered at any point during the operation.
",required to bypass traps or security systems using the Mechanics,Tools,750,1,,
CR,136,X,Sensor pack,"Sensor Pack

A portable scanning device, the sensor pack is a bulky rectangle featuring a variety of dials and switches, a readout display, and a scanning dish. It provides general details on com~ signals, life forms, and hazards within 1 kilometer.

Operating a sensor pack requires a standard action and grants a +5 circumstance bonus on your Perception checks until the end of your next turn.
","comm signals, life forms and hazards within 1km, +5 Perception as stan action",Detection and Surveillance Devices,1500,9,,
GI,67,R,Shield Cage,"Shield Cage (GoI)

A shield cage is a portable shield generator used to trap a target rather than protect it from harm. Wealthy bounty hunters, criminal masterminds, and other VIPs use shield cages to trap targets, sometimes setting the cages beneath chairs or inside doorways. A shield cage is a large flat disk, 2 meters in diameter. It must be connected to a power supply to operate and drains portable power generators after 2 hours of continuous use.

A shield cage produces a shield bubble that fills a single square. Multiple shield cages can be linked together, each expanding the shielded area by one additional square. Targets are trapped inside and cannot move until the power is turned off. The shield is air permeable, allowing the target to breathe and communicate verbally, but nothing else can pass through the shield except damage that exceeds the shield's rating (SR 15).
","Air permeable, immobilizes target, SR 15, 2 hours use from a power generator, 2m diameter",Tools,10000,20,,
UR,42,w,Shipsuit,"Shipsuit (UR)

Manufactured by Ayelixe/Krongbing Textiles, the shipsuit is a multipocketed coverall made of a tough synthmesh fabric, which has been known to last through years of regular use. A fitted coverall can also be used as a enviro-suit in an emergency, although a separate life support system such as a breath mask is required.

A shipsuit provides enough pockets and pouches to carry up to 24 objects of Small size and weighing no more than 1 kg each. The cumulative weight of the objects is halved for the purpose of calculating the wearer's total carried weight. A character wearing a shipsuit receives a +1 equipment bonus to his or her Fortitude Defense when resisting extreme temperatures.
","carry 24 objects Small & no more than 1kg each, weight is halved, +1 Fort Def v. extreme temps",Survival Gear,200,1,,
UR,42,w,Signal wand,"Signal Wand (UR)

The signal wand is a 0.25-meter-long stick that has multiple functions. One of its most popular features is its orbital-range broadband comlink, which can transmit a tight-beam signal well beyond a planet's gravity well. If the wand is connected to a more powerful energy source, the tight-beam signal can travel through subspace to reach interstellar distances. However, the user must know exactly where to point the wand to ensure the beam is on target. The wand also has a red external light that can be used to transmit signals, such as Mon Calamari blink code.
",orbital-range broadband comlink,Communications Devices,300,0.2,,
J,68,w,Sith Amulet,"Ancient relics of the Great Hyperspace War and other conflicts between the Jedi and Sith of the Old Republic, Sith amulets are weapons of the dark side. Each Sith amulet, which is embedded in a jewel - encrusted gauntlet worn on the forearm, is made of crystals imbued wit h dark Force energy that focus the user's telekinetic power, al lowing t he wearer to unleash powerful attacks. Though most Sith amulets were destroyed by Jedi shadows in the wake of the Great Sith War, a few remain, hidden away in Sith burial chambers on Korriban and elsewhere throughout the galaxy.

The wearer of a Sith amulet gains several benefits:

• When the wearer uses the Move Light Object application of the Use the Force skill, the object being used as a projectile deals 2d6 points of damage instead of 1d6 points.

• When the wearer activates a Force power with the [telekinetic} descriptor, the wearer can increase his Dark Side Score by 1 to reroll the Use the Force check made to activate the power, keeping the better res ult.

• As a standard action, the wearer can increase his Dark Side Score by 1 and select a target within 12 squares. The wearer un leashes a razor-thin bolt of telekinetic energy at the target, making a Use the Force check; if the Use the Force check result equals or exceeds the target's Reflex Defense, the target takes 3d8 points of slashing and Force damage.
",move light object does 2d6 instead of 1d6; reroll [telekinetic] UtF power; UtF vs. Ref 3d8 dmg,Artifacts,,,,
J,69,w,Sith Scrolls and Tomes,"Before holocron technology was developed, and sometimes even after, the Sith recorded much of their dark knowledge in traditional forms. Locked away in the mausoleums dedicated to ancient Sith Lords are thousands of scrolls, tomes, and tab lets bearing instructions on how to master a variety of Sith techniques. Like Sith holocrons, these ancient writings describe the methods of using lost dark side Force powers, the construction of Sith weapons and artifacts, information on Sith alchemy, and treatises on the domination and destruction of others.

Sith scrolls, tomes, and tablets function in much the same was as a holocron for the purposes of learning new Force powers and talents. However, these writings have no gatekeeper, and as such their knowledge is open to anyone who can master them, given time. Searchers should beware; many ancient Sith writings are imbued with the madness of their creators, and the knowledge they contain has been known to drive the unprepared student to insanity.

The Madness of Knowledge (CL 6): The first time a character reads an ancient Sith tome, scroll, or tablet, make an attack (1d20+8) against the character's Will Defense. If the attack succeeds, the character moves -2 persistent steps down the condition track, and until the persistent condition is removed the character takes a -5 penalty to Will Defense (on top of the normal penalties for being moved down the condition track). Also, until the persistent condition is remove d, the character is filled with paranoia and creeping insanity, and any time the character rolls a natural 1 on an attack roll, his next attack roll made before the end of the encounter must be against an ally, not an enemy. The persistent condition can be removed after 8 hours of rest with a DC 25 Treat Injury check; the character affected by the Madness of Knowledge cannot make this Treat Injury check on himself. 

","gain knowledge of lost Force powers, Sith weapons and artifacts, and Sith Alchemy",Artifacts,,,,
J,21,w,Sith Talisman,"Create Sith Talisman: You can spend 1 Force Point to imbue a portable object with the dark side, creating a Sith talisman that provides offensive strength to a Force power. Creating the talisman takes a full-round action. While you wear or carry the talisman on your person, you add 1d6 to your damage with Force powers. You increase your Dark Side Score by 1 when you first wear or carry a Sith talisman. You can have only one Sith talisman active at any given time, and if it is destroyed, you cannot create another one for 24 hours. ",spend FP to imbue; add +1d6 dmg to Force powers and increase DSS by 1,Artifacts,,,,
